parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.81336124232395	0.15687734898228436	4312.400843361947	1480.1207178378877	0.9995624699868314
log_tau_load	4.096828485683448	0.22814854426685816	1238.5772622433328	1235.9347791315809	1.0000922746283152
log_sigma_intercept	6.051591842328284	0.015630286796865137	4957.6468786723835	1256.9549132112008	0.9996531226295865
log_sigma_subj_slope	0.07822437538425407	0.0028256597165295053	3754.6625134540855	1443.9376434299336	1.0048161146327774
total_intercept[701]	616.0835192759765	51.919513629181495	1657.980423941912	1506.7066643620062	1.0000070451669478
total_intercept[702]	1554.8142021984559	34.4214737851865	1918.2577644872736	1630.6878906143963	1.0010384491275537
total_intercept[703]	1833.298161523224	36.40530271937642	1679.0601400311505	1377.1772075538413	1.0003436861473025
total_intercept[704]	4817.226022642353	42.63697479398136	1997.2133706587135	1558.4188602996348	0.9997801231351954
total_intercept[705]	4120.6713975789135	45.25638951475621	2069.706523262796	1549.4148987542774	0.9996086531734082
total_intercept[706]	5510.30155282905	45.646552588419624	2556.1093056473014	1512.7666779825395	1.0000075666669817
total_intercept[707]	5382.836881786251	48.00161660180512	2300.5001325177745	1628.312581390854	0.9996484470092604
total_intercept[708]	5019.768818142121	54.296455014975535	1985.39785243343	1648.190684198299	1.0013827219554792
total_intercept[709]	4329.10885218808	57.95889539282637	1750.1466826590845	1572.4432522518043	1.0021219541468607
total_intercept[710]	5654.27171753565	61.508884481367694	4122.399396688902	1484.778000031065	1.0044954910828483
total_intercept[711]	3735.683354292924	67.6588289491277	2138.7231749313064	1719.8556224431727	0.9995345470574144
total_intercept[712]	6562.13626329146	75.09043656590538	1356.0221201387476	1429.8763789431396	0.9998458277466925
total_intercept[713]	9360.573907020538	78.27776046560794	2693.8031488807596	1627.7219652786227	1.0005840855788553
total_intercept[714]	5619.082527021062	81.41508098434554	2513.8869340711253	1706.9040694433631	1.001050671957645
total_intercept[715]	6385.221520014402	88.13362808188866	3593.625839802849	1417.495370255368	0.9996388949589244
total_intercept[716]	6235.574564505943	127.28949051350567	2790.7685456866725	1611.5481976530218	0.9997649008320517
total_intercept[717]	6959.883346404096	101.5211334590898	2092.1837102452528	1594.503689461218	0.9998526863788945
total_intercept[718]	6781.027158435338	117.11672535059888	2032.8134445488856	1450.0394917914493	0.9996425807719491
total_intercept[719]	10157.0745548696	115.36899490098072	2790.7756671539223	1438.6128911242283	1.0008086226827746
total_intercept[720]	8768.848134252634	118.67783617663531	2326.051852671209	1550.3628396422948	1.0002577787665414
total_load[701]	35.37500493480367	17.608690497462177	1833.317097192861	1478.0248441932274	1.0002405523435096
total_load[702]	22.149013509570395	11.458857635501625	1965.219227206923	1516.7741480664226	1.000554333008614
total_load[703]	21.25375586801747	11.989669160334467	1679.0027563779856	1547.484014459927	1.0014476033647575
total_load[704]	69.4884753306485	13.941627451914913	1899.8194936846148	1552.801567191091	1.0004136547218758
total_load[705]	37.462736642929464	14.988296410487825	1922.3222304150213	1444.9613468190553	0.9996490936175598
total_load[706]	52.60794381109194	15.192525931956919	2784.9452897238725	1703.9696361067417	1.000283231398261
total_load[707]	57.74472313942746	15.77821789961237	2313.890875396424	1740.6055270467382	0.9999702680829289
total_load[708]	33.652649659959	17.8099886692444	1987.748647671851	1454.8022392768216	1.0019191701151344
total_load[709]	14.086035773729083	18.657650113306946	1691.115320142714	1527.5669692019203	0.9997371788901138
total_load[710]	-15.243271885494108	21.109147003177313	3226.809285858701	1598.9832512204764	1.0004217376696527
total_load[711]	72.0260815684492	22.083703347711342	2255.003751113441	1796.7470461468988	0.99981517967554
total_load[712]	175.16040375544034	24.51061173446996	1519.596874408877	1497.900099578728	1.0003580797541491
total_load[713]	45.0910341785996	25.34370568353899	2621.5967211572997	1453.9926157106959	1.0013784986879022
total_load[714]	55.6861203769546	25.803275447050854	2556.0765664860623	1691.7398842818864	1.0016439892881452
total_load[715]	17.111986031870842	27.699727015695	3127.1881521484793	1644.815132286571	0.9995383421765563
total_load[716]	26.194874454319287	37.452482549413254	2591.731687900486	1481.0844155729178	1.0006478112986354
total_load[717]	150.3398383141267	32.44022251737728	2357.335316037814	1832.1989368946904	0.9998915766754178
total_load[718]	170.12441023091046	38.243337838651875	1991.4037355064056	1412.9562116178233	0.9999878984414526
total_load[719]	28.433927568172372	35.586732908996964	2920.3989864788646	1427.524639484414	0.9997955057232012
total_load[720]	103.34196109093554	36.85739273165665	2106.3899440617415	1547.339338581109	1.0008473965304532
log_intercept_mixture_precision	-0.03680005490587982	0.8664238746863219	2856.905253143401	905.3939978166865	0.9995079329758659
