parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.815335892727213	0.15610501594278228	4219.730839512127	1543.2639117248852	0.9998702352406907
log_tau_load	4.1074123932737585	0.22621235727216657	2391.739344787438	1386.8121018035804	0.9998081969603883
log_sigma_intercept	6.051563197014428	0.014971021915851028	3979.288355957201	1359.077273405022	1.0002766590433634
log_sigma_subj_slope	0.07821584842661494	0.002845951977281535	4224.719860677935	1767.0629248320151	0.9995316055530281
total_intercept[701]	614.8785436840285	53.81186856971005	2196.3541570761768	1594.503689461217	0.9996096022527797
total_intercept[702]	1555.8318688173829	35.12188451217607	2064.015908102158	1551.3735350436657	0.9997690079864993
total_intercept[703]	1834.3048051075548	36.45808805646463	1424.4542704601686	1411.8303048612524	0.9996448866431644
total_intercept[704]	4815.076230130622	42.33749961785174	2328.892624437809	1432.8639363947766	0.9997721042982662
total_intercept[705]	4119.15764773345	46.19242637896974	2176.8625329963834	1746.440576528519	1.0010914760717897
total_intercept[706]	5513.533842095164	46.61024018065871	1998.903184257744	1423.9818316092947	0.9999231404365613
total_intercept[707]	5383.828597437331	47.83179577513519	2288.909786877708	1707.3733559631476	1.0023210342563735
total_intercept[708]	5021.040261498142	56.356222819746996	1697.1558210746723	1442.9673788893383	0.9997407702536892
total_intercept[709]	4325.658201898548	57.724668775661684	1653.646627490025	1614.0432809497254	1.00104443409189
total_intercept[710]	5656.749155243132	62.31598612905636	1831.423529382595	1549.0657440177931	1.0021441613953732
total_intercept[711]	3735.9984001963608	65.57837514489339	1871.759595197569	1720.7638086245229	1.0023177175413374
total_intercept[712]	6562.284546242257	75.90490128121698	2281.151150653933	1697.661605988061	0.9999378393519571
total_intercept[713]	9358.614397531215	80.20402402824953	4521.91942092791	1241.6929857039822	1.000131768176715
total_intercept[714]	5614.818053711398	83.10668565393117	1903.0466811839945	1497.433818927203	1.000834624745486
total_intercept[715]	6384.354786568638	90.85824877732148	1845.491170443615	1457.0658404765854	1.0005399229754264
total_intercept[716]	6239.593523299744	123.93686946221982	2299.647703417266	1678.400869231893	0.9996377593000214
total_intercept[717]	6953.322527500436	102.88087775847076	2185.902797913026	1306.423285918257	1.0005360262688034
total_intercept[718]	6776.422614283186	108.10886078804785	2488.175403761968	1848.3578525075932	1.0001601074092745
total_intercept[719]	10161.673286802366	119.36340553595494	2182.3603161056817	1619.073461055546	1.0024298671566814
total_intercept[720]	8774.01648305707	121.55899630802423	2490.115750567622	1683.5215616950952	1.0002810869354573
total_load[701]	35.6934634198996	18.28232779787042	2206.154606631352	1453.195237452268	0.9996685431389554
total_load[702]	22.19277478145413	11.646785299891098	2190.7893770483915	1709.2484391178411	0.9999402257835655
total_load[703]	21.01755039635776	12.070120076085193	1425.2400114888778	1373.2690455035083	1.00004793593485
total_load[704]	69.86191726335237	13.822824783141202	2170.4211408109873	1601.086319480365	1.0006407869544949
total_load[705]	37.48070894514009	15.24557391708528	2142.4377848213235	1520.3987412298497	1.0006934145040833
total_load[706]	51.87274167397872	15.423697843370666	2111.4196025853835	1632.0839802166215	0.9997086569090785
total_load[707]	57.41637640496006	15.517578476782354	2184.2327463636693	1668.784037922966	1.000135212485222
total_load[708]	33.342432698535994	18.485125851834052	1933.701027993242	1557.164176662877	1.0004312717318913
total_load[709]	15.317459590794321	18.790751147287267	1667.7894477246764	1456.8943394872326	1.0002646993296918
total_load[710]	-16.18348674371518	20.127622639215495	1879.4183498703135	1440.7199043595076	1.0028552323137208
total_load[711]	72.52610429631522	21.19176802269424	1744.8911835064528	1452.1539932241453	1.0014884349999584
total_load[712]	175.69153453928308	24.602796190552407	2286.069339403198	1820.250808578778	1.0001944546476573
total_load[713]	45.064579688035955	25.502519689702726	4144.677095625197	1477.5396424013875	1.000449769885929
total_load[714]	56.12336368067359	26.402264608954177	1765.8747148863008	1481.0844155729187	1.0003453972821241
total_load[715]	16.883729313506816	28.922328509344695	1816.8689779837225	1454.5502832907468	1.000512188055058
total_load[716]	23.431199170185586	37.185952677725496	2787.9750989741665	1611.796090739681	0.999753810857286
total_load[717]	151.71672004347894	32.70972453468993	2212.276101148458	1368.7626302424326	0.9996972650269295
total_load[718]	171.5962166079061	35.59065582889094	2376.2585603025423	1760.376840726948	0.9998470024026714
total_load[719]	26.472009401793397	36.9278880071855	2325.948265489131	1746.616230667859	1.0000805081550594
total_load[720]	102.37386274138775	37.74268055591133	2114.0466817676133	1418.6954450262929	0.9996082503249594
log_intercept_mixture_precision	0.012526406342469014	0.759574138110115	4044.8338723749184	1721.309272751928	1.0008198448725032
