coordinate	candidate	loss
1	0.0	0.001093746963848263
1	0.01	0.0005613228680143158
1	0.02	1.996739224395701e-5
1	0.03	-0.0005305893964673859
1	0.04	-0.0010906285855320041
1	0.05	-0.0016604429955152011
1	0.06	-0.0022403377951674196
1	0.07	-0.002830631155445658
1	0.08	-0.003431654945385519
1	0.09	-0.004043755473030964
1	0.1	-0.00466729427479832
1	0.11	-0.005302648957014827
1	0.12	-0.005950214093693015
1	0.13	-0.006610402184968502
1	0.14	-0.007283644680963467
1	0.15	-0.007970393076413989
1	0.16	-0.00867112008171798
1	0.17	-0.009386320876770732
1	0.18	-0.010116514454370859
1	0.19	-0.010862245060807199
1	0.2	-0.011624083741836476
1	0.21	-0.012402630003138185
1	0.22	-0.01319851359521089
1	0.23	-0.014012396433676718
1	0.24	-0.014844974667068469
1	0.25	-0.01569698090543617
1	0.26	-0.0165691866244403
1	0.27	-0.017462404761229944
1	0.28	-0.018377492520064247
1	0.29	-0.019315354407607437
1	0.3	-0.020276945520030072
1	0.31	-0.021263275106427674
1	0.32	-0.022275410435948596
1	0.33	-0.023314480998984553
1	0.34	-0.024381683076412607
1	0.35	-0.02547828471476864
1	0.36	-0.02660563114977218
1	0.37	-0.027765150725690486
1	0.38	-0.02895836136382299
1	0.39	-0.0301868776400367
1	0.4	-0.03145241853866356
1	0.41	-0.03275681595883464
1	0.42	-0.03410202405896315
1	0.43	-0.03549012953648011
1	0.44	-0.03692336295274611
1	0.45	-0.03840411122798434
1	0.46	-0.03993493144819992
1	0.47	-0.04151856614582974
1	0.48	-0.04315796023876061
1	0.49	-0.044856279838965216
1	0.5	-0.046616933172799524
1	0.51	-0.048443593891026406
1	0.52	-0.05034022708855555
1	0.53	-0.05231111840299888
1	0.54	-0.05436090661868036
1	0.55	-0.05649462027036795
1	0.56	-0.05871771882065518
1	0.57	-0.061036139078889565
1	0.58	-0.063456347640786
1	0.59	-0.06598540025969338
1	0.6	-0.06863100921717015
1	0.61	-0.07140161994707664
1	0.62	-0.07430649838999119
1	0.63	-0.07735583082088265
1	0.64	-0.08056083821158282
1	0.65	-0.0839339075717953
1	0.66	-0.08748874317108384
1	0.67	-0.09124054109546947
1	0.68	-0.09520619125434213
1	0.69	-0.09940451174822121
1	0.7	-0.1038565214601437
1	0.71	-0.10858575787028558
1	0.72	-0.11361864844280703
1	0.73	-0.11898494552094759
1	0.74	-0.1247182365068164
1	0.75	-0.13085654318934806
1	0.76	-0.1374430263659994
1	0.77	-0.14452681424410185
1	0.78	-0.15216397521434002
1	0.79	-0.16041865689283794
1	0.8	-0.1693644127746729
1	0.81	-0.17908573352850576
1	0.82	-0.18967978852328768
1	0.83	-0.2012583587302871
1	0.84	-0.21394989450399057
1	0.85	-0.22790154345657176
1	0.86	-0.24328083512175663
1	0.87	-0.26027643108284826
1	0.88	-0.27909687189908605
1	0.89	-0.29996545236286
1	0.9	-0.3231080613947522
1	0.91	-0.3487288371806577
1	0.92	-0.3769657337419008
1	0.93	-0.4078150389662182
1	0.94	-0.441012577123999
1	0.95	-0.47586532818881827
1	0.96	-0.5110514515858747
1	0.97	-0.5444620918413974
1	0.98	-0.5732383287030418
1	0.99	-0.5941916681644742
1	1.0	-0.6046497863615545
2	0.0	-0.013049625520970384
2	0.01	-0.01342728190706087
2	0.02	-0.013812102478905321
2	0.03	-0.014204304563087048
2	0.04	-0.01460411448685948
2	0.05	-0.015011768047483689
2	0.06	-0.015427511011206306
2	0.07	-0.015851599644032724
2	0.08	-0.016284301276743803
2	0.09	-0.016725894906676524
2	0.1	-0.017176671839157935
2	0.11	-0.017636936371620286
2	0.12	-0.01810700652379024
2	0.13	-0.018587214817506203
2	0.14	-0.01907790911027639
2	0.15	-0.019579453486818697
2	0.16	-0.020092229213374696
2	0.17	-0.020616635760048543
2	0.18	-0.0211530918967762
2	0.19	-0.021702036869273533
2	0.2	-0.022263931661797288
2	0.21	-0.022839260354231953
2	0.22	-0.023428531581892023
2	0.23	-0.02403228010708823
2	0.24	-0.02465106851266548
2	0.25	-0.025285489028521308
2	0.26	-0.025936165503567907
2	0.27	-0.026603755536647743
2	0.28	-0.027288952781585815
2	0.29	-0.027992489443150307
2	0.3	-0.02871513898250836
2	0.31	-0.029457719052966798
2	0.32	-0.030221094689057402
2	0.33	-0.031006181774795243
2	0.34	-0.031813950819876265
2	0.35	-0.03264543107611047
2	0.36	-0.033501715030195306
2	0.37	-0.034383963313446834
2	0.38	-0.03529341007411783
2	0.39	-0.03623136886371775
2	0.4	-0.03719923909535516
2	0.41	-0.038198513139674456
2	0.42	-0.039230784132680385
2	0.43	-0.040297754579688816
2	0.44	-0.04140124585120535
2	0.45	-0.04254320867986675
2	0.46	-0.04372573478295583
2	0.47	-0.04495106975293279
2	0.48	-0.04622162737926049
2	0.49	-0.04754000558908611
2	0.5	-0.048909004222745696
2	0.51	-0.050331644893321884
2	0.52	-0.051811193218656404
2	0.53	-0.05335118376026753
2	0.54	-0.054955448058112415
2	0.55	-0.056628146214660016
2	0.56	-0.05837380255846663
2	0.57	-0.06019734600883026
2	0.58	-0.062104155872439365
2	0.59	-0.06410011393400973
2	0.6	-0.06619166386068781
2	0.61	-0.06838587913038269
2	0.62	-0.0706905409249365
2	0.63	-0.07311422770938528
2	0.64	-0.07566641856055577
2	0.65	-0.07835761272681327
2	0.66	-0.08119946841493934
2	0.67	-0.08420496443386381
2	0.68	-0.0873885891089442
2	0.69	-0.09076656185351857
2	0.7	-0.09435709399619788
2	0.71	-0.09818069697586213
2	0.72	-0.10226054791198043
2	0.73	-0.10662292493737022
2	0.74	-0.11129772767181935
2	0.75	-0.11631910197713849
2	0.76	-0.12172619286068621
2	0.77	-0.1275640553126218
2	0.78	-0.1338847602223834
2	0.79	-0.14074874156223244
2	0.8	-0.14822644190021267
2	0.81	-0.15640032589777936
2	0.82	-0.16536734501934003
2	0.83	-0.17524194913393148
2	0.84	-0.1861597471000342
2	0.85	-0.1982819081369501
2	0.86	-0.2118003466742571
2	0.87	-0.22694360058664773
2	0.88	-0.24398300683715232
2	0.89	-0.2632381239124999
2	0.9	-0.2850790088799336
2	0.91	-0.3099202994973629
2	0.92	-0.3381969855530714
2	0.93	-0.3703026496866092
2	0.94	-0.4064563565444841
2	0.95	-0.4464466792183934
2	0.96	-0.48919875702912635
2	0.97	-0.5321813382825749
2	0.98	-0.5709223026193108
2	0.99	-0.5993342071832417
2	1.0	-0.6116124024771215
3	0.0	-0.02350616330714447
3	0.01	-0.023897297795695962
3	0.02	-0.02429590295512565
3	0.03	-0.02470221050113214
3	0.04	-0.025116461708544084
3	0.05	-0.025538907908487403
3	0.06	-0.025969811016835355
3	0.07	-0.026409444096267883
3	0.08	-0.026858091954447733
3	0.09	-0.027316051781039588
3	0.1	-0.027783633826567195
3	0.11	-0.028261162126289093
3	0.12	-0.02874897527266391
3	0.13	-0.02924742724017205
3	0.14	-0.029756888266768006
3	0.15	-0.03027774579643692
3	0.16	-0.03081040548787837
3	0.17	-0.03135529229481946
3	0.18	-0.031912851623857076
3	0.19	-0.03248355057646447
3	0.2	-0.03306787928230731
3	0.21	-0.033666352331766215
3	0.22	-0.03427951031640539
3	0.23	-0.03490792148690028
3	0.24	-0.03555218353903304
3	0.25	-0.036212925539314884
3	0.26	-0.03689081000317205
3	0.27	-0.0375865351399009
3	0.28	-0.03830083728008938
3	0.29	-0.03903449350306691
3	0.3	-0.03978832448370673
3	0.31	-0.04056319758019283
3	0.32	-0.04136003018676569
3	0.33	-0.04217979337818334
3	0.34	-0.043023515875840725
3	0.35	-0.04389228836896319
3	0.36	-0.04478726822829592
3	0.37	-0.045709684654296354
3	0.38	-0.04666084430699347
3	0.39	-0.04764213747058718
3	0.4	-0.04865504481261145
3	0.41	-0.04970114480521056
3	0.42	-0.050782121884869955
3	0.43	-0.05189977543722121
3	0.44	-0.05305602970507963
3	0.45	-0.054252944731498706
3	0.46	-0.05549272846512151
3	0.47	-0.056777750173201254
3	0.48	-0.05811055532859446
3	0.49	-0.05949388216141444
3	0.5	-0.06093068009442234
3	0.51	-0.06242413031448828
3	0.52	-0.06397766877130942
3	0.53	-0.06559501194031545
3	0.54	-0.06728018574044581
3	0.55	-0.0690375580610571
3	0.56	-0.07087187542730965
3	0.57	-0.07278830442266195
3	0.58	-0.07479247859318221
3	0.59	-0.07689055168507777
3	0.6	-0.07908925821835501
3	0.61	-0.08139598258134217
3	0.62	-0.08381883804956634
3	0.63	-0.08636675739636146
3	0.64	-0.08904959708190166
3	0.65	-0.0918782573945596
3	0.66	-0.09486482138942336
3	0.67	-0.09802271604271008
3	0.68	-0.10136689974177125
3	0.69	-0.10491408108793815
3	0.7	-0.10868297503981544
3	0.71	-0.1126946037118426
3	0.72	-0.11697265071955334
3	0.73	-0.12154387989046939
3	0.74	-0.1264386315069088
3	0.75	-0.1316914120862381
3	0.76	-0.1373415970997134
3	0.77	-0.14343427001802408
3	0.78	-0.15002122561113293
3	0.79	-0.15716217032643473
3	0.8	-0.16492615731311028
3	0.81	-0.17339329713916474
3	0.82	-0.18265678521220288
3	0.83	-0.1928252790054913
3	0.84	-0.20402563415740665
3	0.85	-0.21640595298618204
3	0.86	-0.2301387836437477
3	0.87	-0.24542408149809333
3	0.88	-0.26249111394603364
3	0.89	-0.28159769375195465
3	0.9	-0.3030236921197026
3	0.91	-0.3270532902977389
3	0.92	-0.35393634020738834
3	0.93	-0.38381319918400125
3	0.94	-0.4165806287523885
3	0.95	-0.4516748337387821
3	0.96	-0.4877689662652011
3	0.97	-0.5224598537830638
3	0.98	-0.5521761294247203
3	0.99	-0.5726870040889774
3	1.0	-0.5804128907839599
4	0.0	-0.1749245699726159
4	0.01	-0.17656486427294482
4	0.02	-0.17823243153298968
4	0.03	-0.1799279407987279
4	0.04	-0.18165208115992612
4	0.05	-0.18340556239955846
4	0.06	-0.18518911566085705
4	0.07	-0.18700349413212286
4	0.08	-0.18884947374871053
4	0.09	-0.19072785391210775
4	0.1	-0.1926394582251945
4	0.11	-0.194585135243238
4	0.12	-0.19656575923945244
4	0.13	-0.1985822309842077
4	0.14	-0.20063547853603772
4	0.15	-0.20272645804327846
4	0.16	-0.20485615455373626
4	0.17	-0.20702558283015238
4	0.18	-0.20923578816868688
4	0.19	-0.21148784721670413
4	0.2	-0.2137828687860538
4	0.21	-0.216121994657435
4	0.22	-0.21850640036997054
4	0.23	-0.22093729599041617
4	0.24	-0.22341592685451467
4	0.25	-0.2259435742724765
4	0.26	-0.22852155618939146
4	0.27	-0.23115122778974181
4	0.28	-0.23383398203391517
4	0.29	-0.23657125011314867
4	0.3	-0.23936450180677699
4	0.31	-0.24221524572434577
