parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.831075042407582	0.15173640971586988	83.74104966131779	163.03517768578172	1.0009268461778908
log_tau_load	4.080487180951077	0.21810176843988532	436.0851940783442	798.2814252486326	1.000838241473989
log_sigma_intercept	6.051096673535706	0.015142444183436259	3409.280964466746	1028.6108363633502	0.9998720274694772
log_sigma_subj_slope	0.07826013586507267	0.0028118754191019464	4888.062996665305	1383.1042771306684	1.0035437786586807
total_intercept[701]	614.5732989556934	53.57860914755959	2529.2385055555333	1574.3315368010556	1.0020875544251897
total_intercept[702]	1554.9440048304018	34.88003573266693	2631.7724027128734	1840.9913852120076	1.000086639062045
total_intercept[703]	1835.4698560925863	36.70314140903989	2508.867188871734	1574.9911922618	1.0006390396588873
total_intercept[704]	4816.185550432952	40.765556422220676	2699.4020264551723	1793.1498857825213	1.000632952779776
total_intercept[705]	4118.830257909918	46.97822878188663	2341.5283628459597	1760.5839830352056	0.9999997955800276
total_intercept[706]	5511.812933721297	46.027731625587236	2531.5163610120558	1443.8430406126377	1.0023296525661691
total_intercept[707]	5383.8201614029385	50.87510285497479	2225.06896478339	1368.0038442606806	0.9998600226712424
total_intercept[708]	5018.4233625304605	52.4512358812668	2540.3821023778933	1883.3132454084302	0.9995600919891247
total_intercept[709]	4326.837461749792	57.09656191777569	2333.379206309299	1412.0541055936012	0.9999389794952096
total_intercept[710]	5654.483962543418	64.51400826876824	2559.7599118522194	1708.9142709766425	0.9999361993734366
total_intercept[711]	3736.017973558548	68.55503717261546	2196.7875203326385	1471.3539092784722	1.0026077588423072
total_intercept[712]	6562.732218027392	75.40671242289686	2394.4036957736716	1748.7692001429984	1.0019183136479046
total_intercept[713]	9356.553825404582	75.07836883862774	2022.3733908219094	1590.3600197065505	1.0002899239383427
total_intercept[714]	5618.414462184912	82.44256454407873	2087.8499952277416	1471.3179906620376	1.0000483250505876
total_intercept[715]	6382.6827870903535	90.97078886229787	2484.0023948948274	1628.6961737993427	1.0006504357517596
total_intercept[716]	6236.166584081704	122.15185681154455	2195.5928781445114	1470.5007798080342	0.9995376845807382
total_intercept[717]	6955.482547641332	101.88931251884593	2140.6300344857327	1846.722431976198	1.0009270033001147
total_intercept[718]	6779.9883230186615	115.83779541015417	1752.9382218884261	1529.685100955934	1.0002323510097182
total_intercept[719]	10158.354601890285	113.6507287555712	1956.381219867414	1420.9386058711505	0.9996637726698592
total_intercept[720]	8778.375854031183	119.3894218421853	2522.322675524044	1797.531918617958	0.999647572313451
total_load[701]	35.47627158161528	17.977666361506994	3156.7651227538104	1409.8003530309838	0.9997399830732668
total_load[702]	22.41945266527964	11.686235301268306	3179.164228714625	1472.9604983575673	0.9998713309633483
total_load[703]	20.874903742891277	12.210744085060215	2696.998444961252	1350.4000295962508	1.0003300345169375
total_load[704]	69.70734139489836	13.547031070583529	3227.2570183703856	1388.819683316013	1.0027512872859798
total_load[705]	37.75490917321801	15.663882722853836	2605.2816491855633	1609.156033418808	1.0001647685433226
total_load[706]	52.55514804665702	14.657575861427722	2799.051919417603	1337.616194469272	1.000715653421044
total_load[707]	57.79146684326412	16.55367365118818	2493.557301636299	1364.0611895407776	0.9997231039728942
total_load[708]	34.06508870052508	17.07001494108186	2459.4296884524483	1580.5684238145623	0.9996067074459584
total_load[709]	14.870958929950422	18.710703817263337	2471.2683797980435	1507.3488516530192	0.9996299154131048
total_load[710]	-15.446349157095993	20.739777116955867	2895.2617289626846	1687.8472331523406	0.9995570592834557
total_load[711]	72.42372330387911	22.55087907009577	2386.19919015822	1287.7695945662472	1.009113386392819
total_load[712]	174.4449426710939	24.415330198062573	2729.6621401545895	1599.555857260029	1.001522065982057
total_load[713]	46.430432683548474	24.711112639708546	2292.600265326256	1390.2412602924815	1.0046410395498273
total_load[714]	55.78871474578569	26.153608723273777	2280.061015874836	1494.32266032734	0.9995131669798553
total_load[715]	16.90064048707781	28.34520361443429	2477.5087941782886	1520.900725879902	1.0018354995337964
total_load[716]	24.693336291595326	37.54344876347463	2482.932813765674	1468.7960380586208	0.9997472900825675
total_load[717]	150.9737649597818	32.60079658594047	1832.9736717083347	1769.5761688632117	1.002031828867445
total_load[718]	170.22711525630567	36.47786312556933	1540.580216639195	1317.0413863907486	0.9995731866224756
total_load[719]	27.425536949319007	36.394593370156166	1929.1083169958338	845.4582762246545	1.0002464652670862
total_load[720]	100.72808241025007	36.97532511907968	2338.323961902373	1690.1521480544527	1.000344156154077
