model	sampler	scope	total_gradients	min_ess_per_sampling_gradient	min_ess_per_total_gradient	min_bulk_ess	limiting_parameter	sampling_gradients	fit_total_gradients	precursor_gradients	pilot_gradients	divergences	draws	common_max_split_rhat	common_min_tail_ess	saved_fit
brms NCP	Native Stan	common44	1063829	0.00047187505695497146	0.0003027298925593683	322.0528388715402	log_tau_intercept	682496	1063829	0	0	0	2000	1.005682873281681	493.98209870803606	pupil-student-native-v1/native_ncp.jls
brms NCP	Native Stan	original_physical46	1063829	0.00024731215318818443	0.00015866229939428528	168.78955530232312	deviation_intercept[707]	682496	1063829	0	0	0	2000	1.005682873281681	493.98209870803606	pupil-student-native-v1/native_ncp.jls
brms NCP	Native Stan	original_NCP46	1063829	0.0002449997321711402	0.00015717877328769427	167.21133720787452	deviation_intercept[707]	682496	1063829	0	0	0	2000	1.005682873281681	493.98209870803606	pupil-student-native-v1/native_ncp.jls
brms NCP	WHMC	common44	274051	0.00035640555695147166	0.00030556739315425885	83.74104966131779	log_tau_intercept	234960	274051	0	0	0	2000	1.009113386392819	163.03517768578172	pupil-student-brms-v1/brms_ncp.jls
brms NCP	WHMC	original_physical46	274051	0.00035640555695147166	0.00030556739315425885	83.74104966131779	log_tau_intercept	234960	274051	0	0	0	2000	1.009113386392819	163.03517768578172	pupil-student-brms-v1/brms_ncp.jls
brms NCP	WHMC	original_NCP46	274051	0.00035640555695147166	0.00030556739315425885	83.74104966131779	log_tau_intercept	234960	274051	0	0	0	2000	1.009113386392819	163.03517768578172	pupil-student-brms-v1/brms_ncp.jls
brms CP	WHMC	common44	80373	0.011895620515791273	0.01106605146908392	889.4117547246819	log_tau_intercept	74768	80373	0	0	0	2000	1.003220919637192	1040.445135233054	pupil-ordinary-cp-whmc-v1/brms_cp.jls
brms CP	WHMC	original_physical46	80373	0.0006275196895922426	0.0005837581296135866	46.91839215143279	deviation_intercept[706]	74768	80373	0	0	0	2000	1.003220919637192	1040.445135233054	pupil-ordinary-cp-whmc-v1/brms_cp.jls
brms CP	WHMC	original_NCP46	80373	0.0006330242643283056	0.0005888788298968404	47.32995819529875	population_intercept_at_mean_load	74768	80373	0	0	0	2000	1.003220919637192	1040.445135233054	pupil-ordinary-cp-whmc-v1/brms_cp.jls
brms S2Z CP	Native Stan	common44	319693	0.03389547144808235	0.006423422602967914	2053.5232422106214	log_tau_load	60584	319693	0	0	0	2000	1.0030361901180018	1141.126147137015	pupil-s2z-whmc-v3/s2z_cp/native_analysis/fit.jls
brms S2Z CP	Native Stan	original_physical46	319693	0.03341142265889719	0.006331692061967661	2024.1976303666274	deviation_intercept[701]	60584	319693	0	0	0	2000	1.0030361901180018	1141.126147137015	pupil-s2z-whmc-v3/s2z_cp/native_analysis/fit.jls
brms S2Z CP	Native Stan	original_NCP46	319693	0.03370848599162875	0.006387987585955388	2042.194915316836	deviation_intercept[706]	60584	319693	0	0	0	2000	1.0030361901180018	1141.126147137015	pupil-s2z-whmc-v3/s2z_cp/native_analysis/fit.jls
brms S2Z CP	Native Stan	common44_plus_mixture	319693	0.03389547144808235	0.006423422602967914	2053.5232422106214	log_tau_load	60584	319693	0	0	0	2000	1.0030361901180018	1141.126147137015	pupil-s2z-whmc-v3/s2z_cp/native_analysis/fit.jls
brms S2Z CP	WHMC	common44	188667	0.03540607381578423	0.010970108450208477	2069.6974509754828	log_tau_intercept	58456	188667	0	0	0	2000	1.0030510892556586	893.9277536632397	pupil-s2z-whmc-v3/s2z_cp/fit.jls
brms S2Z CP	WHMC	original_physical46	188667	0.03336938457075792	0.010339066951126722	1950.6407444682252	deviation_intercept[705]	58456	188667	0	0	0	2000	1.0030510892556586	893.9277536632397	pupil-s2z-whmc-v3/s2z_cp/fit.jls
brms S2Z CP	WHMC	original_NCP46	188667	0.03118306927514439	0.00966166577911262	1822.8374975478405	deviation_intercept[719]	58456	188667	0	0	0	2000	1.0030510892556586	893.9277536632397	pupil-s2z-whmc-v3/s2z_cp/fit.jls
brms S2Z CP	WHMC	common44_plus_mixture	188667	0.031457843421978215	0.009746800951280077	1838.8996950751584	log_intercept_mixture_precision	58456	188667	0	0	0	2000	1.0030510892556586	893.9277536632397	pupil-s2z-whmc-v3/s2z_cp/fit.jls
brms S2Z NCP	Native Stan	common44	771035	0.0002924050849519477	0.00019450919666618786	149.97339845151416	log_tau_intercept	512896	771035	0	0	0	2000	1.0097906789754827	262.2939349245891	pupil-s2z-whmc-v3/s2z_ncp/native_analysis/fit.jls
brms S2Z NCP	Native Stan	original_physical46	771035	0.0002924050849519477	0.00019450919666618786	149.97339845151416	log_tau_intercept	512896	771035	0	0	0	2000	1.0097906789754827	262.2939349245891	pupil-s2z-whmc-v3/s2z_ncp/native_analysis/fit.jls
brms S2Z NCP	Native Stan	original_NCP46	771035	0.0002924050849519477	0.00019450919666618786	149.97339845151416	log_tau_intercept	512896	771035	0	0	0	2000	1.0097906789754827	262.2939349245891	pupil-s2z-whmc-v3/s2z_ncp/native_analysis/fit.jls
brms S2Z NCP	Native Stan	common44_plus_mixture	771035	0.0002924050849519477	0.00019450919666618786	149.97339845151416	log_tau_intercept	512896	771035	0	0	0	2000	1.0097906789754827	262.2939349245891	pupil-s2z-whmc-v3/s2z_ncp/native_analysis/fit.jls
brms S2Z NCP	WHMC	common44	123267	0.0007961824908453251	0.000716588140088943	88.33167026434374	log_tau_intercept	110944	123267	0	0	0	2000	1.0105782230132845	173.96358202830734	pupil-s2z-whmc-v3/s2z_ncp/fit.jls
brms S2Z NCP	WHMC	original_physical46	123267	0.0007961824908453251	0.000716588140088943	88.33167026434374	log_tau_intercept	110944	123267	0	0	0	2000	1.0105782230132845	173.96358202830734	pupil-s2z-whmc-v3/s2z_ncp/fit.jls
brms S2Z NCP	WHMC	original_NCP46	123267	0.0007961824908453251	0.000716588140088943	88.33167026434374	log_tau_intercept	110944	123267	0	0	0	2000	1.0105782230132845	173.96358202830734	pupil-s2z-whmc-v3/s2z_ncp/fit.jls
brms S2Z NCP	WHMC	common44_plus_mixture	123267	0.0007961824908453251	0.000716588140088943	88.33167026434374	log_tau_intercept	110944	123267	0	0	0	2000	1.0105782230132845	173.96358202830734	pupil-s2z-whmc-v3/s2z_ncp/fit.jls
brms S2Z auto	Native Stan	common44	150012	0.046593421542118256	0.010016163092887432	1502.5446578902295	total_intercept[717]	32248	149223	789	0	0	2000	1.0025723009499352	1132.2274889851062	pupil-s2z-whmc-v3/s2z_auto/native_analysis/fit.jls
brms S2Z auto	Native Stan	original_physical46	150012	0.05251698617408079	0.011289548637054085	1693.5677701417574	deviation_load[717]	32248	149223	789	0	0	2000	1.0025723009499352	1132.2274889851062	pupil-s2z-whmc-v3/s2z_auto/native_analysis/fit.jls
brms S2Z auto	Native Stan	original_NCP46	150012	0.0566470255613336	0.01217738101153165	1826.753280301886	log_tau_load	32248	149223	789	0	0	2000	1.0025723009499352	1132.2274889851062	pupil-s2z-whmc-v3/s2z_auto/native_analysis/fit.jls
brms S2Z auto	Native Stan	common44_plus_mixture	150012	0.046593421542118256	0.010016163092887432	1502.5446578902295	total_intercept[717]	32248	149223	789	0	0	2000	1.0025723009499352	1132.2274889851062	pupil-s2z-whmc-v3/s2z_auto/native_analysis/fit.jls
brms S2Z auto	WHMC	common44	64875	0.04331800892593645	0.03116359325766946	2021.7381125913062	total_intercept[711]	46672	64086	789	0	0	2000	1.0042264220858699	1208.4378675431785	pupil-s2z-whmc-v3/s2z_auto/fit.jls
brms S2Z auto	WHMC	original_physical46	64875	0.04032782146029666	0.029012409760230687	1882.1800831949658	deviation_load[713]	46672	64086	789	0	0	2000	1.0042264220858699	1208.4378675431785	pupil-s2z-whmc-v3/s2z_auto/fit.jls
brms S2Z auto	WHMC	original_NCP46	64875	0.0403706228719013	0.029043201706009672	1884.1777106773775	deviation_load[711]	46672	64086	789	0	0	2000	1.0042264220858699	1208.4378675431785	pupil-s2z-whmc-v3/s2z_auto/fit.jls
brms S2Z auto	WHMC	common44_plus_mixture	64875	0.04331800892593645	0.03116359325766946	2021.7381125913062	total_intercept[711]	46672	64086	789	0	0	2000	1.0042264220858699	1208.4378675431785	pupil-s2z-whmc-v3/s2z_auto/fit.jls
total coefficients CP	WHMC	common44	54587	0.03265066583139732	0.031184624796851457	1702.2751137857306	total_load[705]	52136	54587	0	0	0	2000	1.0024177029551438	1198.2714151554399	pupil-student-total-cp-v1/centered_total.jls
total coefficients CP	WHMC	original_physical46	54587	0.03587739300055974	0.03426646933293975	1870.5037614771825	deviation_load[712]	52136	54587	0	0	0	2000	1.0024177029551438	1198.2714151554399	pupil-student-total-cp-v1/centered_total.jls
total coefficients CP	WHMC	original_NCP46	54587	0.03633878544098171	0.03470714488341588	1894.5589177510224	log_tau_load	52136	54587	0	0	0	2000	1.0024177029551438	1198.2714151554399	pupil-student-total-cp-v1/centered_total.jls
total coefficients CP	WHMC	common44_plus_mixture	54587	0.03265066583139732	0.031184624796851457	1702.2751137857306	total_load[705]	52136	54587	0	0	0	2000	1.0024177029551438	1198.2714151554399	pupil-student-total-cp-v1/centered_total.jls
total coefficients NCP	WHMC	common44	134652	0.000757220725887097	0.0007146842795616804	96.23366761153939	log_tau_intercept	127088	134652	0	0	0	2000	1.0300365760403736	220.99574166444813	pupil-student-total-v1/scaled_total.jls
total coefficients NCP	WHMC	original_physical46	134652	0.000757220725887097	0.0007146842795616804	96.23366761153939	log_tau_intercept	127088	134652	0	0	0	2000	1.0300365760403736	220.99574166444813	pupil-student-total-v1/scaled_total.jls
total coefficients NCP	WHMC	original_NCP46	134652	0.000757220725887097	0.0007146842795616804	96.23366761153939	log_tau_intercept	127088	134652	0	0	0	2000	1.0300365760403736	220.99574166444813	pupil-student-total-v1/scaled_total.jls
total coefficients NCP	WHMC	common44_plus_mixture	134652	0.000757220725887097	0.0007146842795616804	96.23366761153939	log_tau_intercept	127088	134652	0	0	0	2000	1.0300365760403736	220.99574166444813	pupil-student-total-v1/scaled_total.jls
total coefficients ACP	WHMC	common44	168932	0.06445685675813255	0.011394759845528795	1924.9395702248705	total_load[702]	29864	34280	0	134652	0	2000	1.0062853482176064	1187.6973234140057	pupil-student-total-v1/partial.jls
total coefficients ACP	WHMC	original_physical46	168932	0.06579295918690115	0.011630957622934764	1964.8409331576156	deviation_load[701]	29864	34280	0	134652	0	2000	1.0062853482176064	1187.6973234140057	pupil-student-total-v1/partial.jls
total coefficients ACP	WHMC	original_NCP46	168932	0.0654145094342541	0.01156405482528215	1953.5389097445643	deviation_load[701]	29864	34280	0	134652	0	2000	1.0062853482176064	1187.6973234140057	pupil-student-total-v1/partial.jls
total coefficients ACP	WHMC	common44_plus_mixture	168932	0.06445685675813255	0.011394759845528795	1924.9395702248705	total_load[702]	29864	34280	0	134652	0	2000	1.0062853482176064	1187.6973234140057	pupil-student-total-v1/partial.jls
