model	sampler	scope	total_gradients	min_ess_per_sampling_gradient	min_ess_per_total_gradient	min_bulk_ess	limiting_parameter	sampling_gradients	fit_total_gradients	precursor_gradients	pilot_gradients	divergences	draws	common_max_split_rhat	common_min_tail_ess	saved_fit
brms NCP	Native Stan	common44	1063829	0.00047187505695497146	0.0003027298925593683	322.0528388715402	log_tau_intercept	682496	1063829	0	0	0	2000	1.005682873281681	493.98209870803606	pupil-student-native-v1/native_ncp.jls
brms NCP	WHMC	common44	274051	0.00035640555695147166	0.00030556739315425885	83.74104966131779	log_tau_intercept	234960	274051	0	0	0	2000	1.009113386392819	163.03517768578172	pupil-student-brms-v1/brms_ncp.jls
brms CP	WHMC	common44	80373	0.011895620515791273	0.01106605146908392	889.4117547246819	log_tau_intercept	74768	80373	0	0	0	2000	1.003220919637192	1040.445135233054	pupil-ordinary-cp-whmc-v1/brms_cp.jls
brms S2Z CP	Native Stan	common44	319693	0.03389547144808235	0.006423422602967914	2053.5232422106214	log_tau_load	60584	319693	0	0	0	2000	1.0030361901180018	1141.126147137015	pupil-s2z-whmc-v3/s2z_cp/native_analysis/fit.jls
brms S2Z CP	WHMC	common44	188667	0.03540607381578423	0.010970108450208477	2069.6974509754828	log_tau_intercept	58456	188667	0	0	0	2000	1.0030510892556586	893.9277536632397	pupil-s2z-whmc-v3/s2z_cp/fit.jls
brms S2Z NCP	Native Stan	common44	771035	0.0002924050849519477	0.00019450919666618786	149.97339845151416	log_tau_intercept	512896	771035	0	0	0	2000	1.0097906789754827	262.2939349245891	pupil-s2z-whmc-v3/s2z_ncp/native_analysis/fit.jls
brms S2Z NCP	WHMC	common44	123267	0.0007961824908453251	0.000716588140088943	88.33167026434374	log_tau_intercept	110944	123267	0	0	0	2000	1.0105782230132845	173.96358202830734	pupil-s2z-whmc-v3/s2z_ncp/fit.jls
brms S2Z auto	Native Stan	common44	150012	0.046593421542118256	0.010016163092887432	1502.5446578902295	total_intercept[717]	32248	149223	789	0	0	2000	1.0025723009499352	1132.2274889851062	pupil-s2z-whmc-v3/s2z_auto/native_analysis/fit.jls
brms S2Z auto	WHMC	common44	64875	0.04331800892593645	0.03116359325766946	2021.7381125913062	total_intercept[711]	46672	64086	789	0	0	2000	1.0042264220858699	1208.4378675431785	pupil-s2z-whmc-v3/s2z_auto/fit.jls
total coefficients CP	WHMC	common44	54587	0.03265066583139732	0.031184624796851457	1702.2751137857306	total_load[705]	52136	54587	0	0	0	2000	1.0024177029551438	1198.2714151554399	pupil-student-total-cp-v1/centered_total.jls
total coefficients NCP	WHMC	common44	134652	0.000757220725887097	0.0007146842795616804	96.23366761153939	log_tau_intercept	127088	134652	0	0	0	2000	1.0300365760403736	220.99574166444813	pupil-student-total-v1/scaled_total.jls
total coefficients ACP	WHMC	common44	168932	0.06445685675813255	0.011394759845528795	1924.9395702248705	total_load[702]	29864	34280	0	134652	0	2000	1.0062853482176064	1187.6973234140057	pupil-student-total-v1/partial.jls
