model	sampler	parameter	mean	sd	bulk_ess	mcse	split_rhat	tail_ess
brms NCP	Native Stan	log_tau_intercept	7.8088917992383085	0.15497915134064214	322.0528388715402	0.008615822342735838	0.9995179926135692	493.98209870803606
brms NCP	Native Stan	log_tau_load	4.1002823078798025	0.22575244460595834	513.9001301901803	0.009901510235389651	0.9997441482689666	879.4446247384457
brms NCP	Native Stan	log_sigma_intercept	6.051822167617604	0.014981630092179295	2509.4283387581327	0.0002991330088587515	0.9996874779813661	1377.8195086205378
brms NCP	Native Stan	log_sigma_subj_slope	0.07822335062400444	0.0028628279572059327	3953.827855092968	4.534684672562029e-5	0.9998759895909806	1073.1950186537204
brms NCP	Native Stan	total_intercept[701]	614.2834208120543	52.49980883639208	2700.1073463819594	1.0081331764962276	0.9996607093424972	1815.2387094849173
brms NCP	Native Stan	total_intercept[702]	1554.1019043221877	33.91553777230919	2512.422776706568	0.6758339004023817	0.999596753726823	1711.2098926621688
brms NCP	Native Stan	total_intercept[703]	1834.9066671244232	36.46377771984781	3115.242164133324	0.6529686598105826	0.9997694934689522	1569.3164639550519
brms NCP	Native Stan	total_intercept[704]	4816.939967319209	41.20558638870382	2730.7100734336236	0.7893330330913008	0.9996515975868333	1713.8970373737936
brms NCP	Native Stan	total_intercept[705]	4119.062467739229	46.62987555321597	3146.0804739177192	0.8315045028748825	1.000017803137169	1610.117409978393
brms NCP	Native Stan	total_intercept[706]	5511.314456722131	46.94024722642452	2561.9094782005523	0.9256861652724495	0.9996423939108005	1817.8238244042602
brms NCP	Native Stan	total_intercept[707]	5385.121191054944	49.695581698690006	2469.9753162426937	0.9970172763917565	1.0000301179544162	1759.6210200368077
brms NCP	Native Stan	total_intercept[708]	5019.839445246314	53.633677229281425	2475.136085445872	1.0816085427848343	1.0013402016554263	1711.8507362088906
brms NCP	Native Stan	total_intercept[709]	4324.007268137237	58.96892238832091	2751.9349239953704	1.121000596886654	1.00011853652285	1716.9571370732615
brms NCP	Native Stan	total_intercept[710]	5656.074753123396	62.17672478460596	2660.052088539316	1.204903338382326	1.005682873281681	1714.83858375644
brms NCP	Native Stan	total_intercept[711]	3732.8742842734428	66.73493066775345	2640.8724449668757	1.2996652488762352	0.9996458063765122	1944.361028229327
brms NCP	Native Stan	total_intercept[712]	6561.744586196141	74.56788368105576	2685.3067153387165	1.438388732831718	0.9997684784058719	1662.333185456164
brms NCP	Native Stan	total_intercept[713]	9358.058648476472	76.83249574446674	2010.0596600592437	1.7109523209917032	1.0002690705229456	1332.5277020301098
brms NCP	Native Stan	total_intercept[714]	5617.209449450707	81.64526220646384	2276.855850506495	1.7109019668220726	0.9996262882748623	1908.6067863490111
