parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.8088917992383085	0.15497915134064214	322.0528388715402	493.98209870803606	0.9995179926135692
log_tau_load	4.1002823078798025	0.22575244460595834	513.9001301901803	879.4446247384457	0.9997441482689666
log_sigma_intercept	6.051822167617604	0.014981630092179295	2509.4283387581327	1377.8195086205378	0.9996874779813661
log_sigma_subj_slope	0.07822335062400444	0.0028628279572059327	3953.827855092968	1073.1950186537204	0.9998759895909806
total_intercept[701]	614.2834208120543	52.49980883639208	2700.1073463819594	1815.2387094849173	0.9996607093424972
total_intercept[702]	1554.1019043221877	33.91553777230919	2512.422776706568	1711.2098926621688	0.999596753726823
total_intercept[703]	1834.9066671244232	36.46377771984781	3115.242164133324	1569.3164639550519	0.9997694934689522
total_intercept[704]	4816.939967319209	41.20558638870382	2730.7100734336236	1713.8970373737936	0.9996515975868333
total_intercept[705]	4119.062467739229	46.62987555321597	3146.0804739177192	1610.117409978393	1.000017803137169
total_intercept[706]	5511.314456722131	46.94024722642452	2561.9094782005523	1817.8238244042602	0.9996423939108005
total_intercept[707]	5385.121191054944	49.695581698690006	2469.9753162426937	1759.6210200368077	1.0000301179544162
total_intercept[708]	5019.839445246314	53.633677229281425	2475.136085445872	1711.8507362088906	1.0013402016554263
total_intercept[709]	4324.007268137237	58.96892238832091	2751.9349239953704	1716.9571370732615	1.00011853652285
total_intercept[710]	5656.074753123396	62.17672478460596	2660.052088539316	1714.83858375644	1.005682873281681
total_intercept[711]	3732.8742842734428	66.73493066775345	2640.8724449668757	1944.361028229327	0.9996458063765122
total_intercept[712]	6561.744586196141	74.56788368105576	2685.3067153387165	1662.333185456164	0.9997684784058719
total_intercept[713]	9358.058648476472	76.83249574446674	2010.0596600592437	1332.5277020301098	1.0002690705229456
total_intercept[714]	5617.209449450707	81.64526220646384	2276.855850506495	1908.6067863490111	0.9996262882748623
total_intercept[715]	6386.191060921456	87.14391384519202	2066.5662521155928	1552.4951250699528	0.9999079066260197
total_intercept[716]	6234.526707242123	128.32205199044395	2065.119604989017	1677.8474510790352	1.0037010181162878
total_intercept[717]	6953.755921692118	106.90755606850249	2233.0604759607804	1759.6210200368077	1.0001000967152296
total_intercept[718]	6774.156251290822	116.58438746909684	1603.9964928735699	1589.4483332004663	0.9995875058196931
total_intercept[719]	10160.368223102061	117.51402640174322	2525.691966046216	1775.0441963457888	0.9996800156592852
total_intercept[720]	8771.451711116384	124.07910071096192	1776.9865524077222	1577.744594695139	1.0002938749161085
total_load[701]	36.48367995326074	17.346815478022503	3229.016955523093	1616.1184876867521	1.0004314743962277
total_load[702]	22.792456855977093	11.314742124655922	3235.673696248896	1737.2757604432015	1.0001017869072772
total_load[703]	20.860692111822907	12.438153763873933	3731.4474040358737	1673.2908376738199	0.9996243410721156
total_load[704]	69.59336018946873	13.63047941667326	3585.504975148045	1650.6012889957003	1.000346167963834
total_load[705]	37.817804543007426	15.71402037084965	4010.820720657887	1731.0236029561022	1.0000344668302197
total_load[706]	52.74970839515759	15.758167365892048	3752.1495645762666	1458.517867333822	0.9995400355170998
total_load[707]	57.14490941074769	16.47743548356235	2804.861328718788	1371.0039296789887	1.000246912855635
total_load[708]	33.12129820393665	17.385998100769207	3043.917942895188	1438.223322164124	1.0007852065543625
total_load[709]	15.414343286220099	18.920426138000902	3079.6570806182367	1549.0657440177952	0.9995193492292388
total_load[710]	-15.855754712701128	20.510011195345903	3022.387576243674	1623.2643143366734	1.0026442977676069
total_load[711]	73.30927510699662	21.028578939131915	2945.7218050535303	1511.940442649471	0.9996162879425704
total_load[712]	175.47540229848843	24.119791988036592	2887.826103028058	1785.285375866933	0.9997523829703584
total_load[713]	45.96242879938445	24.40706391872718	2643.600375342495	1456.894339487233	0.9997521632186123
total_load[714]	55.824063653860314	26.099837891344176	2294.245865545189	1549.1950765299903	1.0001572169476738
total_load[715]	16.551870938998462	27.78574399337311	2306.0863154721305	1377.6291319391987	0.9996726599617305
total_load[716]	25.003090911865236	37.53133153409329	2120.8278415859854	1394.398236975948	1.0015585520464136
total_load[717]	152.29346589364658	34.25088381664062	2344.3718877168367	1406.1570513408167	1.0020289437799674
total_load[718]	171.72729493494174	37.01020892599203	1547.4359398072306	1279.3531364441135	0.9995923476312256
total_load[719]	27.72952432520402	37.986133784094555	2670.164756742771	1552.675377223797	1.0000914703926922
total_load[720]	103.43890273673375	37.72149920660636	2191.343784718901	1462.6742950847736	0.9998992580518821
