parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.81775904416486	0.1611178211379436	3472.9141691111113	1187.6973234140057	1.0001609489896206
log_tau_load	4.100511972688635	0.21914992282435508	2045.9594720130858	1589.235564380829	0.9997944572692286
log_sigma_intercept	6.051527255072198	0.015140448031641968	4216.784571581567	1445.507982402601	1.0062853482176064
log_sigma_subj_slope	0.0781729346533416	0.002714624372042414	4647.942856932897	1578.4738774673178	1.0000425413121505
total_intercept[701]	614.5654107169802	52.61496439401641	1945.0168492310795	1524.1548810983509	1.0016918254950484
total_intercept[702]	1553.9641066220304	34.165006315755654	1980.8187220289337	1334.5561667378915	0.9997253195369156
total_intercept[703]	1834.3403547083717	37.01323190639679	2629.953788684625	1614.8796814356028	1.0017699642524647
total_intercept[704]	4816.374876390867	41.069995737407666	1999.072804433202	1259.5802382672966	0.9995788875899948
total_intercept[705]	4118.476528234561	46.141666021953085	2502.097186452564	1555.2776453378215	1.0022807744568552
total_intercept[706]	5511.354961208945	46.882505183869064	2693.126063028351	1212.0507954813986	1.0002207779904406
total_intercept[707]	5383.078731077386	51.27759270154621	2270.454873614114	1820.4564405372253	1.000020740616065
total_intercept[708]	5019.19744262138	52.66907291265195	2537.869673340501	1458.2426435629225	0.9996526034996417
total_intercept[709]	4326.571166588921	60.772540416925004	2573.2237467311093	1295.8950482239009	1.0012895033485363
total_intercept[710]	5654.699901850624	64.03634604123822	2206.752176353273	1520.4456786265034	0.9999856526999021
total_intercept[711]	3734.600526711014	67.18147417948299	2503.6460726408664	1588.2480521975608	0.9996519039983414
total_intercept[712]	6562.869067262748	73.87721769729914	2397.168003799775	1592.593957205477	1.0006358414056564
total_intercept[713]	9360.488693216617	79.23257213102072	1971.3640945078243	1389.2002291927693	1.0000147205561483
total_intercept[714]	5616.347235804873	82.42907962539077	2714.399370276172	1467.2106104681357	0.9998335004169409
total_intercept[715]	6385.7772512329975	88.38300787229612	2292.3382097530566	1633.5371174167742	0.9999045108831185
total_intercept[716]	6239.215912121473	120.86276861147388	2503.009395684585	1576.075107928959	1.0000991596954534
total_intercept[717]	6956.7195826965835	107.1800350635905	2441.8307143457014	1741.5252699906966	1.000483929055764
total_intercept[718]	6780.092103581637	118.41094803868128	2433.7656329031834	1625.4465320528755	1.000027927354823
total_intercept[719]	10159.18726397279	115.02867990112733	2830.9218454331503	1738.5668609196314	1.0012046088298108
total_intercept[720]	8772.959643674907	122.25639093133663	2369.3486149354367	1656.0949670731272	0.9998106804067713
total_load[701]	35.60663114092845	17.37220968532945	1985.4298060778929	1517.53269468818	1.0014819832850304
total_load[702]	22.51826696837276	11.372215823770903	1924.9395702248705	1599.6374127164956	0.9996059652375195
total_load[703]	20.920738425646793	12.087170532097725	2278.0845175085697	1417.0679928276281	1.0009517518944437
total_load[704]	69.60289065844316	13.72575666743643	2068.802076138199	1683.913022161877	0.9999337221009589
total_load[705]	37.94591398121255	15.03542500622282	2381.1415566842034	1643.267589974306	0.9999487234140391
total_load[706]	52.409576586234756	15.076008457499029	2388.067624550895	1632.731215849287	1.0007754132432967
total_load[707]	57.671188695122794	16.709469069344618	2184.0953689770026	1622.212993891043	1.000247371303559
total_load[708]	33.995910763989315	17.119130683419407	2673.716626083669	1469.0981362521377	0.9999550513205513
total_load[709]	15.543506450810833	19.465822206047562	2508.4343764211417	1541.054343872865	1.0035766353822062
total_load[710]	-15.7659704454077	20.506628196996463	2037.4294077184593	1507.123777867258	0.9999138659740459
total_load[711]	72.81801785316848	21.99319690129932	2623.5457690479507	1523.4321901194514	1.0002590001769014
total_load[712]	175.0566733967015	23.87788854141176	2348.377473814451	1821.3015306292134	0.999552865662818
total_load[713]	44.37865611690817	25.439441322186422	2001.2812702843084	1478.7981685672326	1.000066485633466
total_load[714]	56.136601804875085	25.99637623573073	2889.8575898778745	1660.9370746356287	0.9996042322267851
total_load[715]	15.925100896738044	28.479389242228045	2342.5317437415642	1599.555857260029	0.9997084604299729
total_load[716]	23.337393266961488	36.411827170815805	2213.7731421534486	1626.2731371130503	0.9996551377087178
total_load[717]	151.8380701904109	33.783789006422055	2416.3815336672565	1614.0432809497247	0.999580317539992
total_load[718]	170.45833479037464	37.634155811942534	2415.022728690695	1421.7720547091453	1.0007568967846243
total_load[719]	27.200885404726666	35.35712806012237	2786.3916747288895	1671.661946731102	1.0002709909467324
total_load[720]	102.480507643258	37.146317453633394	2286.2028315347443	1715.5793353712404	1.000708058905213
log_intercept_mixture_precision	0.0050632745998081	0.8237626672410828	3243.245326819485	1064.1021615357956	1.0005129862721966
