model	sampler	qoi	bulk_ess	mcse
brms NCP	Native Stan	population_intercept_at_mean_load	170.2980565072976	43.513262176850915
brms NCP	Native Stan	population_load	401.42284325785033	0.7922137342931653
brms NCP	Native Stan	log_tau_intercept	322.0528388715402	0.008615822342735838
brms NCP	Native Stan	log_tau_load	513.9001301901803	0.009901510235389651
brms NCP	Native Stan	log_sigma_intercept	2509.4283387581327	0.0002991330088587515
brms NCP	Native Stan	log_sigma_subj_slope	3953.827855092968	4.534684672562029e-5
brms NCP	Native Stan	total_intercept[701]	2700.1073463819594	1.0081331764962276
brms NCP	Native Stan	total_intercept[702]	2512.422776706568	0.6758339004023817
brms NCP	Native Stan	total_intercept[703]	3115.242164133324	0.6529686598105826
brms NCP	Native Stan	total_intercept[704]	2730.7100734336236	0.7893330330913008
brms NCP	Native Stan	total_intercept[705]	3146.0804739177192	0.8315045028748825
brms NCP	Native Stan	total_intercept[706]	2561.9094782005523	0.9256861652724495
brms NCP	Native Stan	total_intercept[707]	2469.9753162426937	0.9970172763917565
brms NCP	Native Stan	total_intercept[708]	2475.136085445872	1.0816085427848343
brms NCP	Native Stan	total_intercept[709]	2751.9349239953704	1.121000596886654
brms NCP	Native Stan	total_intercept[710]	2660.052088539316	1.204903338382326
brms NCP	Native Stan	total_intercept[711]	2640.8724449668757	1.2996652488762352
brms NCP	Native Stan	total_intercept[712]	2685.3067153387165	1.438388732831718
brms NCP	Native Stan	total_intercept[713]	2010.0596600592437	1.7109523209917032
brms NCP	Native Stan	total_intercept[714]	2276.855850506495	1.7109019668220726
brms NCP	Native Stan	total_intercept[715]	2066.5662521155928	1.917348165631214
brms NCP	Native Stan	total_intercept[716]	2065.119604989017	2.8278465327811517
brms NCP	Native Stan	total_intercept[717]	2233.0604759607804	2.2553554368827164
brms NCP	Native Stan	total_intercept[718]	1603.9964928735699	2.9055110081391486
brms NCP	Native Stan	total_intercept[719]	2525.691966046216	2.3452812069576257
brms NCP	Native Stan	total_intercept[720]	1776.9865524077222	2.9214829710608066
brms NCP	Native Stan	total_load[701]	3229.016955523093	0.3070469943621317
brms NCP	Native Stan	total_load[702]	3235.673696248896	0.1990593431459088
brms NCP	Native Stan	total_load[703]	3731.4474040358737	0.20407756434603141
brms NCP	Native Stan	total_load[704]	3585.504975148045	0.22898418254885333
