draw	mean_error	covariance_error	density_error
1	7.105427357601002e-15	1.2278178473934531e-11	1.7763568394002505e-15
183	1.8189894035458565e-12	6.821210263296962e-13	1.2434497875801753e-14
364	6.366462912410498e-12	2.9103830456733704e-11	8.171241461241152e-14
546	9.094947017729282e-13	5.820766091346741e-11	7.283063041541027e-14
728	5.4569682106375694e-12	2.9103830456733704e-11	4.440892098500626e-14
910	5.4569682106375694e-12	2.9103830456733704e-11	1.5987211554602254e-14
1091	1.8189894035458565e-12	7.275957614183426e-12	8.881784197001252e-15
1273	7.105427357601002e-15	2.9103830456733704e-11	4.973799150320701e-14
1455	3.637978807091713e-12	5.820766091346741e-11	8.881784197001252e-15
1637	0.0	5.820766091346741e-11	2.6645352591003757e-14
1818	9.094947017729282e-13	2.7284841053187847e-12	1.0658141036401503e-14
2000	1.8189894035458565e-12	5.820766091346741e-11	1.7763568394002505e-14
