arm	recovery_seed	parameter	conditional_noise_variance_fraction	conditional_mean_bulk_ess	recovered_bulk_ess	conditional_mean_mean_ess	recovered_mean_ess	conditional_mean_mcse	recovered_mcse	predicted_recovered_mcse	recovered_mean	conditional_mean	posterior_sd_from_total_variance
partial	101	population_intercept_at_mean_load	0.9996558277404202	1990.127635807681	2075.354861326134	1996.554084508363	2070.9819485831026	0.22528088990315945	12.256038082181256	12.132829434547174	5628.232510811642	5619.201508936409	542.5964663452202
partial	101	population_load	0.8503292195204041	2176.1787427248364	2060.7707559715454	2173.195500322803	2055.681041654489	0.1274846229594562	0.3470306059188802	0.34144278936869604	58.854346283173115	58.509117661954384	15.361679175536048
partial	101	log_tau_intercept	0.0	3472.9141691111113	3472.9141691111113	3352.388798859498	3352.388798859498	0.0027827000104821663	0.0027827000104821663	0.0027827000104821663	7.81775904416486	7.81775904416486	0.16111782113794357
partial	101	log_tau_load	0.0	2045.9594720130858	2045.9594720130858	2035.3771719659446	2035.3771719659446	0.0048575678152543815	0.0048575678152543815	0.0048575678152543815	4.100511972688635	4.100511972688635	0.2191499228243549
partial	101	log_sigma_intercept	0.0	4216.784571581567	4216.784571581567	4195.428928285591	4195.428928285591	0.00023374942038804195	0.00023374942038804195	0.00023374942038804195	6.051527255072198	6.051527255072198	0.015140448031641955
partial	101	log_sigma_subj_slope	0.0	4647.942856932897	4647.942856932897	4703.977860741871	4703.977860741871	3.9580120253597875e-5	3.9580120253597875e-5	3.9580120253597875e-5	0.0781729346533416	0.0781729346533416	0.0027146243720424135
partial	101	deviation_intercept[701]	0.9908402628667732	1992.8462829293992	2078.8178269192085	1987.9912433933077	2075.536197180252	1.1678371598258617	12.229735304817568	12.165922209452267	-4866.874639459297	-4858.704694786987	544.0615299271427
partial	101	deviation_intercept[702]	0.9956051598788	1985.5338831917056	2069.1923016404057	1993.3871785311478	2065.129817892798	0.8059015332478837	12.249145784873134	12.136527380427447	-3927.475943554246	-3919.305998881936	542.7580481526007
partial	101	deviation_intercept[703]	0.9946940218206072	2599.8796986386637	2056.458895005751	2597.8882439533454	2053.206467129508	0.7760283458791364	12.318352144925285	12.134580321056914	-3647.0996954679053	-3638.9297507955953	543.0065739848968
partial	101	deviation_intercept[704]	0.994007934949285	2124.2755680816804	2072.570458454369	2124.447716314423	2071.0707499346945	0.912263190921129	12.275591242429329	12.144053841451932	-665.0651737854085	-656.8952291130986	543.1939393996826
partial	101	deviation_intercept[705]	0.9925284003213175	2458.8790220871424	2056.161886973556	2461.431213580747	2054.8080438099373	0.9470901408557041	12.321445389644868	12.146719693377298	-1362.963521941715	-1354.7935772694052	543.5986507218306
partial	101	deviation_intercept[706]	0.9923202300967902	2513.5193131363662	2058.6380045848227	2508.326960346595	2054.0244414679732	0.9512747072385002	12.308262820164577	12.147046683997123	29.914911032667035	38.08485570497678	543.6556661466884
partial	101	deviation_intercept[707]	0.9909191173923342	2310.1096876139422	2058.2611483142273	2310.1922797048064	2055.8220031715155	1.0786255523893933	12.302748514932828	12.157682865449367	-98.36131909889072	-90.19137442658096	544.0398820617426
partial	101	deviation_intercept[708]	0.9907746042078442	2540.676337841375	2078.1725621658525	2551.2723045112525	2073.8005795977374	1.0346096022698115	12.311802998988878	12.15385686124708	-462.2426075548962	-454.0726628825865	544.0795571143897
partial	101	deviation_intercept[709]	0.9878893330296201	2464.5839765082137	2082.81928394231	2461.730697503952	2082.2481212102616	1.2085356154089109	12.246476788099988	12.169896380342998	-1154.868883587356	-1146.6989389150465	544.8735086556707
partial	101	deviation_intercept[710]	0.9863912812337703	2266.5813646504084	2098.2817637981248	2267.2726920671366	2092.892759948238	1.3359246701166263	12.242786813446854	12.183206240509927	173.25985167434706	181.42979634665687	545.2871067254956
partial	101	deviation_intercept[711]	0.985613703883623	2636.368009331337	2068.234224696732	2639.654585082607	2068.4681407203943	1.273495521774026	12.294890333144126	12.176518813624536	-1746.8395234652623	-1738.6695787929525	545.5021602033308
partial	101	deviation_intercept[712]	0.9825221281288593	2421.4025800619706	2095.470978970947	2417.6215768968054	2090.1559703309417	1.469023642414332	12.315553681706097	12.198518354150478	1081.429017086472	1089.5989617587818	546.3597168144925
partial	101	deviation_intercept[713]	0.9798059748056367	2026.4675601821232	2087.6519664619086	2034.7461178057622	2085.3156237028597	1.7235985984278397	12.324559768516522	12.231786938263609	3879.048643040344	3887.218587712654	547.1164838491213
partial	101	deviation_intercept[714]	0.9789935427542814	2811.251998774082	2099.0882852532764	2809.4198509748157	2097.2853365531646	1.4966767479185075	12.33644511965778	12.201879398778441	134.9071856285967	143.07713030090642	547.3434530621367
partial	101	deviation_intercept[715]	0.9755816613526946	2336.1520464910645	2092.513443242068	2332.038710037767	2089.2322875926648	1.7742230047989915	12.313641157748513	12.239023116463656	904.3372010567211	912.507145729031	548.299724127795
partial	101	deviation_intercept[716]	0.9556879940115592	2640.256494075022	2034.394627778096	2605.2632332107964	2030.329935404949	2.284686820644244	12.600795140442015	12.323376706203511	757.7758619451963	765.945806617506	553.9770538564713
partial	101	deviation_intercept[717]	0.9649349216001413	2482.6592502446224	2055.089892668285	2495.249707499336	2048.3599777129452	2.066718037230671	12.389552303431865	12.284833862123998	1475.2795325203058	1483.4494771926154	551.3162955390975
partial	101	deviation_intercept[718]	0.9580564567605109	2379.130963252242	2046.1199400802764	2345.7395875794373	2045.6576246661489	2.3396287494582917	12.585528524125017	12.333680807442098	1298.6520534053602	1306.8219980776696	553.2918719328981
partial	101	deviation_intercept[719]	0.9596155570611061	2833.3132777899177	2117.1375900612443	2863.174093617103	2114.8054864908577	2.0762725952718384	12.433093012354341	12.28644486678106	4677.747213796512	4685.917158468822	552.8422188467633
partial	101	deviation_intercept[720]	0.9558835435339743	2396.8847708873313	2084.252436416017	2402.1556212034475	2081.3768636036248	2.3738162042257054	12.400303858582186	12.340211624847377	3291.519593498629	3299.6895381709382	553.9203861326675
partial	101	deviation_load[701]	0.4040511784209022	2029.6717704396237	1964.8409331576156	2021.8259332529165	1967.111556827353	0.3826014878541125	0.5157387990891601	0.4967038834445948	-23.24771514224466	-22.902486521025942	22.285072601542602
partial	101	deviation_load[702]	0.5831605033726391	2022.680997656224	2000.4026935203938	2017.9867564308065	1996.388611320597	0.2666020389847603	0.41499981740904884	0.4140138844430132	-36.33607931480035	-35.99085069358163	18.549755560764822
partial	101	deviation_load[703]	0.5510774521903495	2409.1774734569512	2286.5128133356848	2401.13413687938	2291.4222571331898	0.26091762678453195	0.40695410850631997	0.41037648237640684	-37.93360785752632	-37.58837923630759	19.082089181783143
partial	101	deviation_load[704]	0.5022307559326462	2199.3751124095475	2125.2982776846457	2201.702237862087	2124.0479706998835	0.3005490277446734	0.43032222041966006	0.43664695968142214	10.748544375270052	11.093772996488777	19.988517730934856
partial	101	deviation_load[705]	0.4593538221956366	2370.0428784099345	2189.3647086722826	2368.6243129193604	2190.3066357333632	0.3157672261318101	0.45828620009658105	0.4472580803291749	-20.90843230196056	-20.56320368074183	20.900591396991725
partial	101	deviation_load[706]	0.46221081527798513	2300.590748483199	2088.615973696877	2283.792885563041	2086.9465861660174	0.3197347684276745	0.4539259476359756	0.4500679631591874	-6.444769696938351	-6.09954107571963	20.83589645388685
partial	101	deviation_load[707]	0.41558075889283785	2258.441916775895	2173.1426058730012	2260.1083274775006	2167.9374740706703	0.35334760459618214	0.4771819582075617	0.47453701541041127	-1.1831575880503211	-0.8379289668315991	21.973767562270687
partial	101	deviation_load[708]	0.4133711816337335	2696.15181022005	2411.316697931681	2701.9461434196355	2413.869951905904	0.3246425918169159	0.45867362073932966	0.45356770359271137	-24.858435519183796	-24.513206897965077	22.032417064594277
partial	101	deviation_load[709]	0.35223166033341474	2465.2330484336994	2208.1106397403605	2470.173033038383	2195.598325718655	0.38651309995479904	0.5148946695088779	0.4997231491110148	-43.31083983236227	-42.965611211143546	23.86811090674961
partial	101	deviation_load[710]	0.3255486284001826	2081.8639826815456	2071.671108485099	2068.9382011720795	2071.878420717396	0.44825574983766014	0.5497061925346206	0.5488752741591517	-74.6203167285808	-74.27508810736208	24.82700359931432
partial	101	deviation_load[711]	0.3051834618381496	2675.393418372699	2305.488153324648	2677.4191465430663	2302.851868062459	0.4130747376940765	0.5269014834984187	0.5205397086119282	13.963671569995377	14.3089001912141	25.641991069678646
partial	101	deviation_load[712]	0.2740834384857007	2305.317892556579	2288.736368855019	2309.4112752023725	2298.4102951828945	0.4797152851626322	0.5664415659809934	0.5748544199529361	116.20232711352841	116.54755573474716	27.0576979978985
partial	101	deviation_load[713]	0.24345484307951948	2093.1053752927132	2155.400930478949	2088.199285461104	2153.0261946668343	0.5464551071896186	0.6329903954639255	0.6316201655222691	-14.47569016626494	-14.130461545046215	28.709328387514322
partial	101	deviation_load[714]	0.24300500152615895	2937.9671856849504	2955.813362708595	2959.3719252235583	2979.2562866607254	0.4595908421496816	0.5306363848148277	0.5581707547951743	-2.7177444782980205	-2.372515857079299	28.735888905911967
partial	101	deviation_load[715]	0.2084979736530339	2364.1267694725625	2245.2339833738542	2356.1019705576928	2242.399466556556	0.5686045062182898	0.6591295904851734	0.6508778178832847	-42.92924538643507	-42.58401676521634	31.02282356452531
partial	101	deviation_load[716]	0.1403785611827925	2220.866530375596	2313.418183864978	2194.7098138049837	2325.507347198925	0.7482503265556915	0.7788830728092107	0.8125327073487318	-35.51695301621163	-35.1717243949929	37.807838466099405
partial	101	deviation_load[717]	0.16130913730664473	2410.278318841681	2327.673738899003	2433.152168347303	2332.0225895879003	0.6548156922299826	0.7304663013171186	0.7274025296294977	92.98372390723773	93.32895252845647	35.269780582326966
partial	101	deviation_load[718]	0.13431897513917015	2349.2843259196165	2420.7992423419178	2349.9488554178424	2412.795327900178	0.7418452176984693	0.7898140036400256	0.8066381942003803	111.60398850720152	111.94921712842024	38.65125121550694
partial	101	deviation_load[719]	0.14737598739327712	2863.641631763083	2557.639293446409	2866.7434713259827	2563.925450517371	0.6363605404268027	0.7188540946117155	0.7108344299012629	-31.653460878446435	-31.30823225722772	36.89936379262848
partial	101	deviation_load[720]	0.13950178906187582	2350.8876102579816	2218.9512170117914	2337.4703446149333	2212.3732466512247	0.7276864438988908	0.8210767596379382	0.7936361949627642	43.62616136008488	43.971389981303595	37.92646395698235
partial	101	population_intercept_at_load0	0.9988955891772522	2179.546424756472	2065.872236752161	2191.470055095277	2063.949427692103	0.38466914330716734	12.274630090080393	12.11584870838137	5481.440050176277	5473.270105503967	541.8633699926615
partial	101	log_sigma_intercept_at_subject0	0.0	4659.225181334068	4659.225181334068	4721.135372308107	4721.135372308107	0.028086798366554058	0.028086798366554058	0.028086798366554058	-49.512061418707994	-49.512061418707994	1.9298584828114225
partial	102	population_intercept_at_mean_load	0.9996558277404202	1990.127635807681	2038.9151258437087	1996.554084508363	2038.0623600928268	0.22528088990315945	12.107420659802646	12.132829434547174	5634.622413117964	5619.201508936409	542.5964663452202
partial	102	population_load	0.8503292195204041	2176.1787427248364	1929.3929253553877	2173.195500322803	1932.545043363397	0.1274846229594562	0.3518925051359481	0.34144278936869604	57.860290568053884	58.509117661954384	15.361679175536048
partial	102	log_tau_intercept	0.0	3472.9141691111113	3472.9141691111113	3352.388798859498	3352.388798859498	0.0027827000104821663	0.0027827000104821663	0.0027827000104821663	7.81775904416486	7.81775904416486	0.16111782113794357
partial	102	log_tau_load	0.0	2045.9594720130858	2045.9594720130858	2035.3771719659446	2035.3771719659446	0.0048575678152543815	0.0048575678152543815	0.0048575678152543815	4.100511972688635	4.100511972688635	0.2191499228243549
partial	102	log_sigma_intercept	0.0	4216.784571581567	4216.784571581567	4195.428928285591	4195.428928285591	0.00023374942038804195	0.00023374942038804195	0.00023374942038804195	6.051527255072198	6.051527255072198	0.015140448031641955
partial	102	log_sigma_subj_slope	0.0	4647.942856932897	4647.942856932897	4703.977860741871	4703.977860741871	3.9580120253597875e-5	3.9580120253597875e-5	3.9580120253597875e-5	0.0781729346533416	0.0781729346533416	0.0027146243720424135
partial	102	deviation_intercept[701]	0.9908402628667732	1992.8462829293992	2027.1419213209101	1987.9912433933077	2023.9776046409997	1.1678371598258617	12.171036635852358	12.165922209452267	-4875.743880907864	-4858.704694786987	544.0615299271427
partial	102	deviation_intercept[702]	0.9956051598788	1985.5338831917056	2044.1270186025856	1993.3871785311478	2041.224941665679	0.8059015332478837	12.098842518667919	12.136527380427447	-3936.345185002813	-3919.305998881936	542.7580481526007
partial	102	deviation_intercept[703]	0.9946940218206072	2599.8796986386637	2047.6462158278746	2597.8882439533454	2045.601634288364	0.7760283458791364	12.090044921112879	12.134580321056914	-3655.9689369164716	-3638.9297507955953	543.0065739848968
partial	102	deviation_intercept[704]	0.994007934949285	2124.2755680816804	2039.9756687536922	2124.447716314423	2036.354620773372	0.912263190921129	12.081624168704868	12.144053841451932	-673.9344152339748	-656.8952291130986	543.1939393996826
partial	102	deviation_intercept[705]	0.9925284003213175	2458.8790220871424	2039.1398373194706	2461.431213580747	2036.9296341194367	0.9470901408557041	12.161053460326212	12.146719693377298	-1371.8327633902818	-1354.7935772694052	543.5986507218306
partial	102	deviation_intercept[706]	0.9923202300967902	2513.5193131363662	2038.2759455455641	2508.326960346595	2037.2074455204872	0.9512747072385002	12.150673687659816	12.147046683997123	21.045669584100615	38.08485570497678	543.6556661466884
partial	102	deviation_intercept[707]	0.9909191173923342	2310.1096876139422	2048.0576784194395	2310.1922797048064	2046.871878924961	1.0786255523893933	12.117164298092032	12.157682865449367	-107.23056054745715	-90.19137442658096	544.0398820617426
partial	102	deviation_intercept[708]	0.9907746042078442	2540.676337841375	2034.7190719263106	2551.2723045112525	2034.7525493652286	1.0346096022698115	12.181489305932129	12.15385686124708	-471.1118490034627	-454.0726628825865	544.0795571143897
partial	102	deviation_intercept[709]	0.9878893330296201	2464.5839765082137	2023.5628479556995	2461.730697503952	2023.991608415161	1.2085356154089109	12.225032675915884	12.169896380342998	-1163.738125035922	-1146.6989389150465	544.8735086556707
partial	102	deviation_intercept[710]	0.9863912812337703	2266.5813646504084	2015.67583729783	2267.2726920671366	2016.2898029573948	1.3359246701166263	12.211450851706012	12.183206240509927	164.3906102257807	181.42979634665687	545.2871067254956
partial	102	deviation_intercept[711]	0.985613703883623	2636.368009331337	2080.8746011635985	2639.654585082607	2078.152061186146	1.273495521774026	12.060442840757904	12.176518813624536	-1755.708764913829	-1738.6695787929525	545.5021602033308
partial	102	deviation_intercept[712]	0.9825221281288593	2421.4025800619706	2050.6931997793927	2417.6215768968054	2049.9231335349205	1.469023642414332	12.165521505300351	12.198518354150478	1072.5597756379057	1089.5989617587818	546.3597168144925
partial	102	deviation_intercept[713]	0.9798059748056367	2026.4675601821232	2035.8164817598108	2034.7461178057622	2033.3317737458012	1.7235985984278397	12.232332365858616	12.231786938263609	3870.179401591777	3887.218587712654	547.1164838491213
