draw	mean_error	covariance_error	density_error
1	1.0913936421275139e-11	1.2505552149377763e-12	0.0
183	1.000444171950221e-11	5.343281372915953e-12	1.2434497875801753e-14
364	5.4569682106375694e-12	5.820766091346741e-11	3.197442310920451e-14
546	2.7284841053187847e-12	1.1641532182693481e-10	7.283063041541027e-14
728	2.3646862246096134e-11	1.3642420526593924e-12	1.2434497875801753e-14
910	1.8189894035458565e-12	2.9103830456733704e-11	4.085620730620576e-14
1091	1.8189894035458565e-12	2.9103830456733704e-11	4.796163466380676e-14
1273	1.8189894035458565e-12	5.820766091346741e-11	7.105427357601002e-15
1455	0.0	1.7621459846850485e-12	6.572520305780927e-14
1637	4.547473508864641e-12	5.820766091346741e-11	3.019806626980426e-14
1818	2.7284841053187847e-12	1.4210854715202004e-13	1.0658141036401503e-14
2000	5.4569682106375694e-12	9.663381206337363e-13	1.5987211554602254e-14
