arm	recovery_seed	parameter	conditional_noise_variance_fraction	conditional_mean_bulk_ess	recovered_bulk_ess	conditional_mean_mean_ess	recovered_mean_ess	conditional_mean_mcse	recovered_mcse	predicted_recovered_mcse	recovered_mean	conditional_mean	posterior_sd_from_total_variance
scaled_total	101	population_intercept_at_mean_load	0.9996576976501672	2161.7674328554267	2104.135987995591	2160.1371108908093	2106.3298123856102	0.21373784664239545	12.104730685044606	12.005953038530793	5629.736844034135	5619.440401042625	536.9293551383676
scaled_total	101	population_load	0.8466342977270378	2404.1992203109944	2072.9419797173973	2393.0455044922455	2073.8218455218666	0.12468249661175866	0.34321584435657065	0.3438443864394914	59.39016600174073	58.92847429599175	15.574597955710724
scaled_total	101	log_tau_intercept	0.0	96.23366761153939	96.23366761153939	97.81627374144645	97.81627374144645	0.01504419246307368	0.01504419246307368	0.01504419246307368	7.80841151662559	7.80841151662559	0.14879023787333745
scaled_total	101	log_tau_load	0.0	479.5805611042053	479.5805611042053	481.02612287290737	481.02612287290737	0.009789408362429324	0.009789408362429324	0.009789408362429324	4.114200848931364	4.114200848931364	0.21470431681313978
scaled_total	101	log_sigma_intercept	0.0	2552.5210349493077	2552.5210349493077	2540.1069702828654	2540.1069702828654	0.0003025550874056596	0.0003025550874056596	0.0003025550874056596	6.051467865673198	6.051467865673198	0.01524861723367341
scaled_total	101	log_sigma_subj_slope	0.0	2428.477437618454	2428.477437618454	2416.950416422254	2416.950416422254	5.630648910889489e-5	5.630648910889489e-5	5.630648910889489e-5	0.07817775721679605	0.07817775721679605	0.002768167203984305
scaled_total	101	deviation_intercept[701]	0.9899874864012541	2855.943872515165	2078.591575311037	2837.529549304048	2080.4545468353012	1.0116550857339712	12.193127514123901	12.024677042521082	-4866.920598367774	-4857.775690748279	538.5562943940457
scaled_total	101	deviation_intercept[702]	0.9953881431988053	2868.522810575422	2106.221688401143	2848.1534142553405	2106.6756918789106	0.6834487360191706	12.107474428853054	12.00152132603231	-3927.9267970928213	-3918.7818894733264	537.0932903907391
scaled_total	101	deviation_intercept[703]	0.9944951911100675	3112.7124013147213	2097.2646414658234	3088.299489783157	2101.091575656542	0.7173911804120212	12.15231727922538	12.003502075235172	-3646.842337922353	-3637.6974303028574	537.3343629322773
scaled_total	101	deviation_intercept[704]	0.993797444317413	2956.3858834719426	2095.5952161546984	2936.243400257857	2092.9414028925435	0.7812433433408259	12.188908597990817	12.007487377713812	-664.3190907525167	-655.1741831330214	537.5229614967965
scaled_total	101	deviation_intercept[705]	0.9921529290292962	2297.5311865747376	2093.0567565674637	2293.0302185641194	2092.025650900407	0.9951889618774102	12.161300824174056	12.023302917014309	-1360.7475647612491	-1351.602657141754	537.9682551141208
scaled_total	101	deviation_intercept[706]	0.9925253865104994	2420.390925933765	2076.8076981373165	2429.392974189594	2074.564060603183	0.9434537852982191	12.159339758958497	12.019131291796246	29.937306388769308	39.08221400826465	537.8673060072366
scaled_total	101	deviation_intercept[707]	0.9909719641337857	2495.7200321073788	2088.6534404477447	2501.5836527046467	2083.692111454349	1.0225967248331613	12.166513618041717	12.025602522372075	-97.70511259277261	-88.56020497327725	538.2887144600456
scaled_total	101	deviation_intercept[708]	0.9899164300464405	2491.6662350120832	2092.9252255805845	2486.106971116383	2096.9449535151034	1.0846607989503658	12.19807957186617	12.031039066232882	-462.5020487608805	-453.35714114138517	538.5756228743531
scaled_total	101	deviation_intercept[709]	0.9880063511911401	2623.3426408519954	2100.7606589309703	2576.1350075380437	2100.8908781560012	1.1632081722935708	12.168327029235508	12.038374691648897	-1154.7766424096922	-1145.631734790197	539.0959764074092
scaled_total	101	deviation_intercept[710]	0.9856597285749147	2314.3846458028265	2087.488450503906	2307.692365179468	2084.9904922828496	1.3454643077529833	12.203198970643	12.057349881623216	172.84559572127864	181.99050334077398	539.737324897063
scaled_total	101	deviation_intercept[711]	0.986215991931028	2942.2265111809334	2098.284164795377	2943.873608098548	2102.323179082991	1.1675839533265622	12.174110701199677	12.038798289385358	-1746.1662638496189	-1737.0213562301235	539.5850872299019
scaled_total	101	deviation_intercept[712]	0.9826836369105826	2644.729715273846	2094.861291187409	2667.2584111567903	2092.792564160711	1.377320119152409	12.175726198701147	12.060946176609203	1078.3935067829452	1087.5384144024401	540.5540136774912
scaled_total	101	deviation_intercept[713]	0.9811680916766534	2583.855397258422	2102.4988603479137	2588.173378524281	2100.5786636901335	1.4592333049966604	12.1999123148437	12.070574708888289	3878.1018146753217	3887.2467222948167	540.9713315438318
scaled_total	101	deviation_intercept[714]	0.9791998029256999	2058.2327248045594	2099.4184685101654	2073.3009860243915	2101.9966806434363	1.7151924159316563	12.212780535619324	12.104185102191375	137.60838803685678	146.75329565635212	541.5147616171037
scaled_total	101	deviation_intercept[715]	0.9741918545655674	2863.68549430064	2105.6172116058938	2852.605572491261	2103.474889435262	1.6329814343229745	12.268662788690015	12.092809447323878	902.0389908262167	911.1838984457122	542.9048377590682
scaled_total	101	deviation_intercept[716]	0.9552481608875353	2118.1217851649767	2075.314378533278	2090.1099756951194	2072.342787740177	2.5369314263350717	12.39301350210364	12.247670514280202	753.323897947456	762.4688055669511	548.2616307514148
scaled_total	101	deviation_intercept[717]	0.9641474406945357	2208.6238138250933	2091.568563589644	2200.2329698544154	2088.1279851292907	2.20292635953538	12.27087335353268	12.182868976968354	1468.928500656613	1478.073408276109	545.7254809012211
scaled_total	101	deviation_intercept[718]	0.9591162748512416	2114.1089264034576	2079.066517415507	2114.5114451399886	2072.995522210314	2.4059164319683215	12.450160396041689	12.221204762299719	1297.055824945863	1306.200732565358	547.1549447940114
scaled_total	101	deviation_intercept[719]	0.9575949978164284	3101.3179335677905	2134.1370917714007	3093.843828047583	2137.177349125211	2.027282985456834	12.31087194402677	12.152336741037294	4676.025655276647	4685.170562896142	547.5893893816238
scaled_total	101	deviation_intercept[720]	0.953648441918633	2929.632927490736	2155.071013975087	2895.5788587189304	2150.382186697	2.195413229630249	12.322196066616302	12.181512681653196	3289.0040830758267	3298.148990695322	548.7212849527856
scaled_total	101	deviation_load[701]	0.3967239880542563	2702.446325644462	2815.302398285286	2705.751722027085	2815.0186451408067	0.33973054804437586	0.4418226944826959	0.46701186537297	-23.69233719668627	-23.230645490937306	22.75205050323415
