parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.81797564535525	0.1536206916301998	3989.1219341208052	1132.2274889851062	1.002372574054077
log_tau_load	4.096983158468349	0.21956121694687294	1826.753280301886	1248.3296986041867	1.0000518446826983
log_sigma_intercept	6.051633785619926	0.01531426544331498	3381.6153825690753	1317.0276236432335	1.0005175491092597
log_sigma_subj_slope	0.07837777416234536	0.0028402160055671765	4412.406594071237	1377.1249927848323	0.9995875341520488
total_intercept[701]	612.7595483970205	54.37301569192445	2573.950391036586	1491.2298004938195	1.0007089573940369
total_intercept[702]	1554.4667497739147	34.17377441644455	2698.8585926925257	1727.9213237658905	1.001677751989879
total_intercept[703]	1834.3355309489218	37.069003502608126	2554.6974873563213	1747.9232600952537	0.9995072114429906
total_intercept[704]	4815.6949883450225	41.539863948799294	2524.865911149641	1568.5014719710236	0.9996146929691959
total_intercept[705]	4121.575621783113	47.393474193560735	1968.575761566492	1548.6932451855857	0.9996030651646297
total_intercept[706]	5510.558225533387	47.440535357709564	2602.3420953216582	1487.6363160193134	0.9995548615920552
total_intercept[707]	5382.32099133787	49.52417683396887	1941.4281938317881	1443.6555239264014	0.9998709707426724
total_intercept[708]	5018.268624273173	53.676953800889805	2022.9841098005554	1744.7229736381476	0.9997893656044866
total_intercept[709]	4327.01381257518	59.278079539433826	2102.593537140982	1601.731764553897	1.0006642780631083
total_intercept[710]	5653.1768005794975	64.91833222454824	2285.2061497145755	1478.0521978704508	1.0000267397020706
total_intercept[711]	3735.5303203055896	68.17476479379981	2031.4448759053603	1771.2635374634608	0.999693882253934
total_intercept[712]	6562.848560901167	74.01563539985408	1793.389513006693	1778.4672373793517	0.9999276653818346
total_intercept[713]	9354.73567262855	79.69016263101115	2351.4780288901134	1413.6044459153159	0.999669280505218
total_intercept[714]	5617.627237654226	84.13939112616987	2249.2945684066012	1434.3385283525984	1.0004381477521735
total_intercept[715]	6383.4475282643225	86.54202914984323	2220.0648691976367	1624.8452154651022	1.000291187272277
total_intercept[716]	6237.584833908184	128.93214368073652	1972.0404264864342	1533.3755681662292	0.9997757100599529
total_intercept[717]	6957.270634135375	104.61299480693881	1502.5446578902295	1343.1280370023298	0.9998668952528342
total_intercept[718]	6781.332883730328	114.49882025453422	2411.9659527048134	1652.1154498664682	0.9998752514863787
total_intercept[719]	10152.603166741355	119.50676207191414	2213.1940628741163	1551.237722570837	0.9997362603693118
total_intercept[720]	8772.28637083219	119.47226610351211	2009.1533180008732	1557.164176662876	1.0006497316389067
total_load[701]	36.09504993459598	18.02174149887772	2692.135199545949	1560.5514652745999	1.0016550806467097
total_load[702]	22.718076775969436	11.174654727233367	2814.15572750203	1941.8831482023725	1.0022179140089325
total_load[703]	20.97770418575171	12.048837234977656	2379.329982387672	1468.7764907409994	0.9995308192381546
total_load[704]	69.64800500618527	13.823742169671162	2523.2639021566665	1774.165277761321	1.0012984595971222
total_load[705]	37.20735322831242	15.436591400390155	2006.7665906184513	1403.9744044190272	0.9996887687328626
total_load[706]	52.83162686790939	15.407359945394633	2508.833475114291	1484.6520709499234	0.9996452614127062
total_load[707]	57.90935631386886	16.093365685160464	1965.858831296954	1533.2670499325804	0.9999211428171908
total_load[708]	34.03826361311499	17.13289543935997	1858.8425343705499	1711.392594293262	1.0000338315719843
total_load[709]	14.673657749995572	18.80775741902642	1985.9309154703326	1686.501897835797	1.0025723009499352
total_load[710]	-14.916349728029909	20.549417769688468	2403.591164020712	1620.6668500629694	0.9999713033959927
total_load[711]	72.54493089370443	21.604973921825717	2170.762267000645	1509.1410813878583	0.9995611836824198
total_load[712]	175.34208059214308	24.591571575071864	1811.2185775057458	1462.4578531328173	0.9996152356238477
total_load[713]	46.45208099648333	25.516791567416483	2431.330349079117	1468.0129688129687	1.0005429470605598
total_load[714]	56.26902910309796	27.05418471024174	1979.5679844133306	1456.2667669686189	1.0016123933291725
total_load[715]	18.726548450836702	27.748199445071734	2149.922026506496	1814.6998779946418	0.9995025543107543
total_load[716]	24.987562344994625	39.152315904494564	1587.5167867334694	1290.9182699314815	1.0005897891799491
total_load[717]	152.23284625415204	33.932818702813684	1527.0551098041167	1696.1162877948318	0.999988413274414
total_load[718]	170.67756381164332	36.77407291939565	2236.2158615930666	1584.4096165882524	0.9999830597279166
total_load[719]	29.511084620816362	37.342724199251556	2269.2665718984367	1384.2832554722659	0.9995878889643673
total_load[720]	103.35756668588574	35.30230262915738	2016.9407987033524	1780.39785735307	0.9998493703664004
