parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.816292151903142	0.16597489601176757	4269.706680993224	1545.8232558223076	1.001841639526507
log_tau_load	4.112666473877399	0.22126390081112474	2169.0625687675843	1560.536277209596	1.000136075983724
log_sigma_intercept	6.051323052992122	0.01471497040556308	2745.1011175874814	1409.316841890941	1.0042264220858699
log_sigma_subj_slope	0.07828117260392486	0.002894901317926112	4091.620309696487	1227.5417573916234	1.0004724461392691
total_intercept[701]	615.815052627055	51.94787439283465	2221.377474559708	1446.656351318187	1.0029531829625764
total_intercept[702]	1553.958527502218	35.07386275469022	2276.6143339633454	1711.5756541442447	1.001639159196736
total_intercept[703]	1835.1502377825636	36.10750892673478	2502.2475572967815	1687.2249762386714	0.9998524253838109
total_intercept[704]	4816.891408409424	41.16827535382908	2280.839445635339	1621.2717783342764	0.9997449318500572
total_intercept[705]	4119.8983723246865	47.533809039688606	2493.73350646735	1551.042796979184	1.00034078728061
total_intercept[706]	5511.168665579625	45.117381477493254	2192.2712313342395	1600.850388314893	1.001641320138392
total_intercept[707]	5381.763582566079	49.90228412399549	2353.4840078103516	1294.5811255735794	1.0003876697024532
total_intercept[708]	5017.2466302743915	55.96923315428526	2269.383716493194	1562.0298339374924	1.0001829905365873
total_intercept[709]	4327.197839635412	57.63438998088117	2494.504459617456	1650.6012889956996	1.0005400750569355
total_intercept[710]	5654.720030116527	66.01426105641102	2269.1562015411632	1452.7410114429792	0.9997884290943839
total_intercept[711]	3735.4395580739633	67.67947814047959	2021.7381125913062	1394.4105887930145	1.0003375776286623
total_intercept[712]	6557.069451807271	72.34152550061478	2211.792959932713	1657.0906739605011	0.9999443074689566
total_intercept[713]	9357.379668787755	75.04490740652824	2082.715765320471	1372.6962351259006	1.0001297848981061
total_intercept[714]	5617.096878263106	84.36535034560417	2497.2729713568738	1264.461223559783	0.9997834282228052
total_intercept[715]	6383.0554850045655	87.23677702513054	2378.0876751535056	1648.334159384152	1.0003049587115893
total_intercept[716]	6233.091899294458	124.18599121903034	2407.2004839063416	1555.3060288128795	0.9999759488213106
total_intercept[717]	6952.921955533258	105.8925010907404	2269.1730453139025	1637.9242156930363	1.0011345284728435
total_intercept[718]	6777.300049608953	113.01769821222291	2154.4892453861967	1774.550635883215	1.0001696828743338
total_intercept[719]	10157.754488779461	118.77361278019549	2339.4010449460397	1263.2090998703388	1.000381150579368
total_intercept[720]	8769.73031779294	124.66834799657232	2645.5688216148933	1477.6251345628557	1.0006371505531328
total_load[701]	35.20336497926721	17.291403547961142	2347.653452064825	1905.8181824753901	0.9997699467901195
total_load[702]	22.471799291877964	11.569716089387416	2060.8274926188997	1429.93897148066	1.0023730576468384
total_load[703]	20.740081847116613	11.918932552716763	2639.347247282621	1668.1438658735365	0.9995611222777178
total_load[704]	69.26690088730739	13.586768597362598	2246.4125869963796	1537.367232897734	0.9995481788324194
total_load[705]	37.9171075691139	15.295901974117523	2538.001751084779	1752.2602709256719	1.0031186231002778
total_load[706]	52.71936270615496	15.045899156627284	2275.307483861732	1621.192540237017	1.0001009283712194
total_load[707]	57.69499006820047	16.71703106537545	2443.5311770708445	1652.3375747958944	1.0005712564307323
total_load[708]	33.93608356126008	18.024697394520587	2343.2913847842938	1745.3489186245354	0.9997551398824552
total_load[709]	14.30883126971648	18.469378891648876	2565.958236717662	1697.9774277811757	1.0004164610809616
total_load[710]	-15.552157505668703	21.464471287465912	2398.0799906004822	1475.908143073764	0.9995914948247554
total_load[711]	72.8307959642253	22.499076710817675	2118.971996088436	1208.4378675431785	0.999571537472793
total_load[712]	177.27849381687867	23.768237891074456	2317.755949158698	1582.1773245611794	1.0003863152886234
total_load[713]	45.0896665355496	24.326718190655313	2123.5707702268473	1371.988135066945	0.9997670824396827
total_load[714]	55.36586086537852	27.171825009376573	2558.6804076469384	1586.8796802453617	1.002006142298215
total_load[715]	17.389244718060976	28.162420039502045	2367.9874593716713	1562.0521134825472	1.000011293935218
total_load[716]	25.17045794909077	37.52247341171986	2184.3776946843172	1442.435339030477	0.9996049632578958
total_load[717]	152.81040694339106	33.66917814276279	2034.7233169584924	1547.4840144599261	0.9996518972352505
total_load[718]	171.83333600218447	37.01400036051697	2027.3239328209766	1479.5829127696527	1.0004701777842189
total_load[719]	27.952368999773018	35.82037820615881	2545.8775767436487	1686.0084230209352	1.00077984820438
total_load[720]	103.67991856322595	38.106645138619506	2584.1017706956095	1524.354840231277	0.9996593081962191
