parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.811825483002728	0.15502130225909705	3111.1679440725634	1282.0470500452448	1.0000497943474929
log_tau_load	4.101379188464531	0.22820526392184573	2053.5232422106214	1565.9378492747899	0.9999919722690263
log_sigma_intercept	6.0513386976810235	0.014333940928185544	2647.115074614622	1545.6197974895701	1.0002604096677792
log_sigma_subj_slope	0.07819758851249048	0.0028982600012702983	2388.757101863516	1294.8976524520745	0.9996288608597625
total_intercept[701]	614.7072058231457	55.481152167660845	3041.2844801495817	1383.2704160559422	1.001625733470967
total_intercept[702]	1554.011628467849	35.11459354115941	2757.7590507988857	1650.5816096058263	1.000190768177295
total_intercept[703]	1833.649879818486	36.6935397074656	3106.6606361549298	1441.3507970149772	0.9995047436340145
total_intercept[704]	4816.269306932075	42.17569369257041	2875.8762324051377	1202.305820888276	1.0018764981539328
total_intercept[705]	4119.360535197908	48.353604321280606	2989.8195309316916	1141.126147137015	0.9995152783543538
total_intercept[706]	5511.580640598437	45.7499037303926	2630.6841291186674	1429.0468094391936	1.000283911529993
total_intercept[707]	5382.863459753223	49.10908470464986	3870.015747114801	1333.6131120427074	1.0013476286984455
total_intercept[708]	5019.9149667697	52.622945939769224	2802.813402076513	1426.1699518816986	0.999862632899764
total_intercept[709]	4325.815220459064	58.703231225838095	3095.5332874062838	1721.8919570876594	1.0022399705142553
total_intercept[710]	5654.710277734893	63.31084605916048	3135.396387386314	1568.4167954698487	1.0001562609643044
total_intercept[711]	3736.2479860190842	64.98742252612719	3123.9291690325563	1612.2606180820596	1.0030361901180018
total_intercept[712]	6561.560380205303	74.16297332462302	2999.428874212123	1425.3044795769208	0.999919375519358
total_intercept[713]	9358.765474646058	78.22483157899413	2898.483627836468	1382.6659648647033	0.9996247912115126
total_intercept[714]	5617.701149455979	82.82222362721117	3138.487306743755	1417.7391798358842	0.9997229113366704
total_intercept[715]	6385.122822320297	89.12235519966322	3140.0005738891623	1660.6105878476023	1.0014171297678516
total_intercept[716]	6236.382508245481	123.27157490507281	2929.399282701379	1578.0855538368637	1.000242442178139
total_intercept[717]	6958.340760831225	107.00649625712455	2083.4618120368946	1648.4347906918524	1.0003811031769285
total_intercept[718]	6776.137213135113	115.990730610398	2783.2208920962357	1522.6990883196606	0.9996321349231676
total_intercept[719]	10157.386272946145	113.96060363527536	3208.161261171235	1550.3628396422953	0.999555490226429
total_intercept[720]	8770.132175127123	119.1560100546467	3083.276140106348	1607.3009896000635	0.9996047510997861
total_load[701]	36.06382016139563	18.248976081210866	2692.1778571570717	1528.9789929714605	1.0009267936662667
total_load[702]	22.85908531023122	11.590913772376343	2773.044796253341	1658.8481387697327	1.0000838562573977
total_load[703]	21.12241923919669	11.903326534566975	3014.53201493694	1745.4425590127014	0.9997984964541212
total_load[704]	69.56294695755422	14.01892063139871	2975.754865520104	1250.606078091029	1.0004715800859156
total_load[705]	37.940764485389224	15.778096049674527	3274.856903636197	1605.144173760473	0.9997961132278848
total_load[706]	52.80589765858278	15.038942123776469	2969.731453500077	1606.236553857982	1.0005877143050286
total_load[707]	57.81192081242123	15.839583183828895	3402.313929433389	1683.7026617507	0.9999938302051329
total_load[708]	33.53549957979378	17.2949595874118	2904.187152613746	1273.5081114194154	0.9997215339069662
total_load[709]	15.288406616635996	18.98706851739251	3157.484356727911	1766.4832547354404	1.0007181159545833
total_load[710]	-14.998421876075513	20.255381784991435	3032.4247377652114	1157.6867810495203	1.0009167748427767
total_load[711]	72.18421228821099	21.261097055333853	3018.7756904051375	1527.5450333539422	1.0018791132235347
total_load[712]	175.05372811078746	24.268206705858226	3100.5819511599434	1438.6378427033371	1.0004063616712557
total_load[713]	45.62937954748609	25.04946648288883	2734.611107028162	1348.928072453711	0.9998754370967627
total_load[714]	55.629410789131136	26.83346842237866	2860.582841293608	1556.4385996021476	1.0002040713620897
total_load[715]	17.588633897779452	28.553734170174213	3100.6141800011656	1479.9757619259728	0.9996173135342927
total_load[716]	25.630020638031674	37.24645767688559	3017.3331064555955	1358.7846234583294	1.000086623038432
total_load[717]	150.77353002204225	34.18766373441509	2199.426048473249	1584.6664465393221	0.9996475043411139
total_load[718]	171.95356288843993	37.687517769598635	2454.606022565897	1435.8454078714324	0.9995170445478953
total_load[719]	27.997237667931973	35.301630929416284	2992.6350846012556	1623.6086742322339	0.9997769740358988
total_load[720]	103.76171975331351	38.21909846971854	2748.445710515311	1459.219981881277	0.9999021880278067
