parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.826650884233834	0.16019658417033142	149.97339845151416	262.2939349245891	1.0097906789754827
log_tau_load	4.089107311632416	0.21606726770011156	502.3428846284195	980.2077739459515	1.0035145780619483
log_sigma_intercept	6.051426967725631	0.014953282461331709	3683.747504131079	1469.5006989782826	1.0045339633472514
log_sigma_subj_slope	0.0782894862847167	0.0027834567919164587	3192.41597042124	1492.4291863325232	1.0004613806328295
total_intercept[701]	614.4276596823944	53.36872230667636	2806.3462947072253	1697.054844601379	0.999772088353318
total_intercept[702]	1554.6365700544893	35.249519173548265	3198.1869144757675	1617.5576143733408	0.9998019776967376
total_intercept[703]	1835.9349313571856	37.50134505731119	2781.447878628677	1779.8104008620774	0.9998017011279786
total_intercept[704]	4816.21696242157	40.18017930253604	2185.0112837657693	1573.9931015295497	1.0006570089209375
total_intercept[705]	4120.948937499217	47.132606255957626	3214.5953408619325	1143.4485916002143	0.9998340581472276
total_intercept[706]	5510.734802831914	46.77476060140756	2783.3959553291443	1720.5771580471298	1.0020467016370718
total_intercept[707]	5381.33537988435	49.67192541220413	2655.145835550987	1765.8443126023521	0.9999507896322777
total_intercept[708]	5019.107204035405	55.94654805979775	2610.3380616058207	1503.608669259933	1.0001807505730915
total_intercept[709]	4326.580597175546	58.23323402759015	2609.096217723365	1510.3269757694718	1.0028498940579529
total_intercept[710]	5652.630930007574	64.33645497579133	3010.2283968432353	1749.4411488412125	1.0005763046168055
total_intercept[711]	3736.815177366052	67.4675150786907	2067.403157694418	1475.7296540551615	1.0000129159019642
total_intercept[712]	6561.768455933404	73.37694661314674	2532.051762059052	1664.9839900353397	0.9997156428097981
total_intercept[713]	9358.02331922268	78.79454682967389	2552.040573937661	1639.5031555255487	1.0002487522471168
total_intercept[714]	5614.267167792142	82.27528426136581	2398.169625165443	1697.3648114310947	1.000179861334133
total_intercept[715]	6386.572010428209	88.11935638070722	2885.2840097948892	1469.6554980339208	1.0008193602883195
total_intercept[716]	6227.299448192943	124.06179084749068	2807.881767124859	1811.2520923010486	0.9998903467837331
total_intercept[717]	6956.804283996796	108.43085575555162	2840.345516064023	1572.8725064425432	0.9997467473375203
total_intercept[718]	6778.915553014682	112.9592803029047	2395.201761494479	1587.6499490206709	1.0028527160180842
total_intercept[719]	10154.078750153629	116.01287162201328	2855.074527624666	1753.5576643748655	1.0001306414216145
total_intercept[720]	8773.138553655639	126.48549275177172	2537.5689988411673	1469.9786995974132	0.9998608986023609
total_load[701]	35.65618921576513	17.415557523122335	2698.1746760995143	1696.7700547596912	0.9999464763411393
total_load[702]	22.494967196086176	11.724908838260067	3334.7199386867637	1544.2589345936776	0.9995226998719318
total_load[703]	20.753103684772185	12.441439682053247	3411.247935307832	1613.531631143034	0.999995950175631
total_load[704]	69.85048828024523	13.42301988502289	3097.398002598536	1485.3228674690185	0.9999026349685606
total_load[705]	37.59352825808662	15.101595399485424	4083.255591442469	1362.6198832320974	1.0000043799631986
total_load[706]	52.70728476976914	14.976922229200511	3426.1807694169847	1411.7814043517997	1.0047808701829786
total_load[707]	57.90293024299188	16.29866578252727	3444.122557634915	1434.1594321043237	1.0002408241026095
total_load[708]	33.85954465564106	18.646921099571603	3146.4784084265348	1316.1883512723637	1.0017359339174083
total_load[709]	15.124931769783517	18.886002874026243	3340.9951334090692	1394.1753549016566	1.0010324190814164
total_load[710]	-14.987616880915816	21.332419977035777	3287.1966826912267	1522.1873067878382	1.000154563798501
total_load[711]	72.28827513274044	21.83170047992626	2129.992061978682	1603.7892721782755	1.0000506205829933
total_load[712]	175.06906442345877	23.779278564320123	2890.898229735246	1355.1760800885759	1.00022143853371
total_load[713]	45.86876375573523	25.76467937421246	3950.276318395102	1254.3160081671783	0.9997594976649266
total_load[714]	57.091710259448575	25.922749349117066	2742.154596952208	1241.6013801750905	0.9996009108528527
total_load[715]	16.648959727852503	27.44356362892041	3408.12036889147	1303.7977403466061	1.001370216555563
total_load[716]	27.964712174221013	37.677140874933244	2919.424211827972	1612.2912296912339	0.9996763310918578
total_load[717]	151.18073448758864	35.39991418255894	2622.7782538968013	1567.7334865677037	1.002198673473996
total_load[718]	171.16718952378707	36.47385054136119	2176.1224651113794	1530.456786173535	1.002261525710838
total_load[719]	28.582375702960032	35.571566521126776	3609.8473492941653	1576.0751079289596	1.0007926171037704
total_load[720]	102.51467738240855	37.93224906802015	2551.426369771931	1389.4385037156308	1.000238462147011
