parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.837122007602061	0.13972638614066157	88.33167026434374	173.96358202830734	1.0105782230132845
log_tau_load	4.0873349769465435	0.21716845785016226	570.1812154479792	855.2541166267079	1.0087309311472639
log_sigma_intercept	6.051685216965654	0.015122961308943377	4194.498933666648	1266.7367433825575	1.0013453369650611
log_sigma_subj_slope	0.07826008452041082	0.0027562294034541384	3800.2453180541834	1694.0115699706703	1.000763821286548
total_intercept[701]	611.722343391629	53.03689101035202	1653.3530212943363	1721.309272751928	1.0014826228726186
total_intercept[702]	1553.8985435314612	34.302614783669746	2452.006619916413	1629.1630874008324	1.0000257181366299
total_intercept[703]	1835.4508847082582	37.37224325909418	2312.3702281857	1439.2028358536159	0.9998231338869863
total_intercept[704]	4815.30670964629	39.14842196517824	2537.930702574195	1852.5977384687178	1.0006930157163165
total_intercept[705]	4120.334487692895	45.81067704829791	2249.3159846016997	1748.3300990509795	0.9999830119333133
total_intercept[706]	5511.571633592477	47.32693852652476	2579.8858800766075	1642.5164408078847	0.9998478902358434
total_intercept[707]	5384.372441152486	48.990878162966915	2382.824640657589	1848.2524466875914	0.9995060278785649
total_intercept[708]	5018.4658108609865	55.60032082225305	2545.791484695917	1646.149201142053	1.0003589909017552
total_intercept[709]	4324.570889259106	59.43710842809653	2022.453102049501	1428.4500424233813	0.999913436206648
total_intercept[710]	5652.860463544563	63.96579007976255	2376.3806683614944	1478.0248441932279	0.9997195214172456
total_intercept[711]	3736.5144029986354	65.64937203948651	1834.862736800576	1525.476050130482	0.9999803458344462
total_intercept[712]	6561.929149084216	75.46243295395706	2839.6463393835506	1214.9293361103478	1.0006833972811235
total_intercept[713]	9358.486313251142	74.44334316509521	2784.5469752088693	1658.596998782575	0.9999434793409813
total_intercept[714]	5620.9606249346125	80.4559660491048	2095.730730274053	1211.5342191104148	1.0002280411295559
total_intercept[715]	6384.47535621297	93.16165825253738	2211.56979794047	1753.1291873884504	0.9995420718039403
total_intercept[716]	6236.110528944124	125.56287243497991	1841.4902512547262	1752.2602709256719	1.0008834217928493
total_intercept[717]	6955.3125500919095	107.08275044023824	2204.2497095392473	1369.6400350283013	0.9996708652000406
total_intercept[718]	6780.311321486526	116.78441106074668	1784.485799702125	1476.105170989828	1.0021273659379135
total_intercept[719]	10160.650810620846	115.75090759878671	2858.6113972675885	1806.4948057247914	0.9999539087199595
total_intercept[720]	8773.440829491836	120.85240213216387	2988.8266992925946	1750.5668668655937	0.9997898041030784
total_load[701]	36.78221942835566	17.58685206398389	1566.6801724408401	1460.0933210480703	0.9998337992967498
total_load[702]	22.763615870589884	11.46297944775965	2640.9309855894257	1689.5283711620455	0.9997144293731097
total_load[703]	20.32308108118298	12.373584886582305	2185.9479584181886	1339.0385855913696	1.0002758294143694
total_load[704]	69.94743146926831	13.226704183444708	2482.125805059773	1600.3047872168456	1.0005456528304653
total_load[705]	37.5292969106686	15.240183485858388	2383.2929571165782	1533.5065237246756	0.9996594619495561
total_load[706]	52.62861945435387	15.462872143685585	2858.883262562842	1660.5345574476537	0.9997677792498093
total_load[707]	57.46745147313309	15.979241638367908	2115.07368687845	1690.851337100759	1.0001776827852034
total_load[708]	34.24894496722812	17.942962224400397	2629.3456210464233	1617.1312364495814	1.0003353994045372
total_load[709]	15.51218362641115	19.215162837690496	2007.2465147305195	1434.2846056353815	0.9997189276233517
total_load[710]	-15.085320458355538	20.750043423714267	2429.1926461468684	1628.6373981417503	0.999919915641477
total_load[711]	71.73069156874413	21.518708910552075	1645.5062443329043	1615.586713495219	1.0001414276259764
total_load[712]	175.36152375835675	25.071964472705506	2362.514538112594	1260.724604098982	1.002332255654003
total_load[713]	45.879980923730834	23.684177464504874	3053.320458101232	1592.5139722392023	1.000242252834275
total_load[714]	55.34255956440708	25.53094231159632	1788.9289067032548	1264.4434127415907	0.9999543561885159
total_load[715]	17.00191562086482	29.087536366671323	1860.1580062960395	1391.0798194969875	0.9998140049893364
total_load[716]	25.41095929946808	37.54579287372401	1656.6690973320708	1637.688441137695	1.0017134277635096
total_load[717]	151.8988029807607	34.982587867316006	2020.1025438243141	1278.6369126557754	1.0002725579327185
total_load[718]	169.5679331621558	37.22907243960038	1594.789712448096	1477.673336165239	1.004424434454025
total_load[719]	27.002842204725322	35.63909180324733	2624.241327308736	1477.6711008363902	1.0005562272844206
total_load[720]	103.16112218357698	37.41803808147526	2478.1367208670717	1522.6990883196602	1.0017328889525567
