parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.80841151662559	0.1487902378733372	96.23366761153939	220.99574166444813	1.0300365760403736
log_tau_load	4.114200848931364	0.21470431681313978	479.5805611042053	583.3660305388973	1.000065149030331
log_sigma_intercept	6.051467865673198	0.015248617233673404	2552.5210349493077	1346.6219913541786	1.0000955318267604
log_sigma_subj_slope	0.07817775721679605	0.002768167203984304	2428.477437618454	1785.4387493101215	0.9995709240232457
total_intercept[701]	614.6873621512467	53.6049670326755	2823.8137377571015	1750.2378984431061	1.00002350947207
total_intercept[702]	1553.681163426199	34.46299916577936	3053.4069106406214	1623.1478540765509	0.9998583116753071
total_intercept[703]	1834.765622596668	36.06606782521701	2669.1191906055415	1889.4311833855065	1.0001405427088912
total_intercept[704]	4817.288869766504	40.443703461308	2703.5323299931265	1460.3197548761675	1.00162900252855
total_intercept[705]	4120.860395757772	46.932254808504226	2088.737142506511	1384.7649030512462	1.0005924275088875
total_intercept[706]	5511.54526690779	45.20139046337387	2431.0885917900723	1475.5463467481643	1.0004190604187475
total_intercept[707]	5383.902847926248	50.874476636399336	2405.201408488349	1510.166169037876	1.0014528792809498
total_intercept[708]	5019.10591175814	53.57875245374304	2722.4039896132695	1733.1811662364246	0.9995729443808341
total_intercept[709]	4326.831318109329	57.91379179381386	2641.004926365367	1269.4620351711578	1.0038184813880204
total_intercept[710]	5654.453556240299	65.45880598536714	2354.7435275499297	1360.7249029104778	0.9996167431091774
total_intercept[711]	3735.4416966694016	64.31643156858222	2815.633740832784	1625.864811262071	0.9997047169028387
total_intercept[712]	6560.001467301967	73.81514935570281	2560.2600821106253	1289.4761380403102	1.0013278077773828
total_intercept[713]	9359.709775194344	76.53155219825045	2804.3006149265675	1389.0193922650526	1.000151000042621
total_intercept[714]	5619.216348555878	80.3473667670584	2015.6620063629612	1419.279918607463	1.0007071085450492
total_intercept[715]	6383.646951345238	90.0575072677962	2968.042143265256	1384.0285979563416	1.003085475889213
total_intercept[716]	6234.931858466477	121.65351805907706	2140.5857469752314	1418.979457653958	1.00175565508915
total_intercept[717]	6950.536461175634	108.15765856637064	2186.4520306411487	1729.8382977350343	1.000038059282358
total_intercept[718]	6778.663785464884	115.92670939053092	2114.7222870566493	1317.1250825415054	1.0003788716218422
total_intercept[719]	10157.633615795668	117.24506803701236	2955.1138903517653	1631.2152269490741	0.9999095818956044
total_intercept[720]	8770.612043594847	123.96904963107413	2979.5829616661804	1528.356634375017	1.0000362713304387
total_load[701]	35.69782880505445	17.481483069162493	2723.676460925885	1577.8733491953906	1.0000546548813212
total_load[702]	22.716707336220942	11.017969878211721	2873.9857132416137	1430.3403143733833	0.9996572157739713
total_load[703]	21.020567097078047	11.752682061412946	3233.4126647491735	1558.6667942220702	1.0022158825982752
total_load[704]	69.31202238765019	13.47389930281101	2707.848041294003	1356.37657224698	0.9999454677759629
total_load[705]	37.431593937144555	15.326216133005035	2098.902396529747	1353.7761525357992	1.0008942250641526
total_load[706]	52.584568602400424	14.871778510587493	2551.577965028023	1467.1924040244603	1.0005620740860885
total_load[707]	57.17239036772831	16.392329413403417	2491.761200075257	1524.8378651278788	1.000938632702872
total_load[708]	34.434445593219436	17.53930067490133	2661.121908087045	1282.1546093384407	1.001149184366045
total_load[709]	14.761308932469364	19.08293980900438	2762.758076358498	1676.453627475725	1.0022756657601384
total_load[710]	-15.32137098950425	21.378388313157128	2146.0991010382286	1550.0149400857874	0.9995177920258432
total_load[711]	72.4328907414341	20.87799083802392	2751.982831609144	1709.7485259368295	0.999704945953063
total_load[712]	175.6031740840372	24.438652147121832	2370.6333154582503	1855.1651676472698	1.0003703123284078
total_load[713]	45.273811869705824	24.16411365427398	3460.2773738644228	1714.307810509683	1.0004818607035402
total_load[714]	55.38330005370878	25.640019392943188	1791.899421390773	1395.1992176646781	1.0007130305750367
total_load[715]	17.34994116517074	28.510492373811445	3215.84569791939	1206.2583693662675	1.0037069971218713
total_load[716]	25.239906664363566	37.532638978251526	2012.6439191402264	1674.4244739777123	1.000090748668587
total_load[717]	153.14199205236503	34.284150796346395	1974.491379647722	1778.7794716348105	0.9999116585722145
total_load[718]	172.4273175948529	36.789707692936375	1576.2491106919947	1577.123473136663	0.9996777809540963
total_load[719]	27.89315258962174	36.10596679781241	3681.4035687232363	1587.7468904618747	0.9995091474965949
total_load[720]	103.91302544759601	38.04854419256301	2421.9612667806814	1527.5669692019192	0.9995022133281569
log_intercept_mixture_precision	-0.0009343469821110189	0.8045810462070048	2305.384585175454	969.8873012519227	0.9998944425888322
