draw	mean_error	covariance_error	density_error
1	9.094947017729282e-12	5.820766091346741e-11	0.0
183	6.366462912410498e-12	5.820766091346741e-11	4.440892098500626e-14
364	1.2732925824820995e-11	5.820766091346741e-11	3.019806626980426e-14
546	2.7284841053187847e-12	2.3305801732931286e-12	4.085620730620576e-14
728	4.547473508864641e-12	5.820766091346741e-11	1.2434497875801753e-14
910	5.4569682106375694e-12	5.820766091346741e-11	1.5987211554602254e-14
1091	2.7284841053187847e-12	2.7853275241795927e-12	8.881784197001252e-15
1273	9.094947017729282e-13	2.9103830456733704e-11	7.105427357601002e-15
1455	3.637978807091713e-12	2.9103830456733704e-11	4.796163466380676e-14
1637	1.1823431123048067e-11	2.9103830456733704e-11	2.842170943040401e-14
1818	5.4569682106375694e-12	2.9103830456733704e-11	1.0658141036401503e-14
2000	3.637978807091713e-12	2.9103830456733704e-11	1.7763568394002505e-14
