arm	recovery_seed	parameter	conditional_noise_variance_fraction	conditional_mean_bulk_ess	recovered_bulk_ess	conditional_mean_mean_ess	recovered_mean_ess	conditional_mean_mcse	recovered_mcse	predicted_recovered_mcse	recovered_mean	conditional_mean	posterior_sd_from_total_variance
centered_total	101	population_intercept_at_mean_load	0.9996225554009212	2487.431010906602	2024.1163335149822	2479.687271029064	2022.8157123636877	0.21043327323066527	12.308370781523358	12.060224874523353	5626.119248080743	5619.072602420179	539.3693443623026
centered_total	101	population_load	0.8446256514354386	2177.5565203631763	2044.971780921689	2147.96053619976	2035.4334504802946	0.13247069195968236	0.35347514329688196	0.3464110025115649	59.05802281352355	58.737332895189084	15.575546489868143
centered_total	101	log_tau_intercept	0.0	2491.1529243351583	2491.1529243351583	2416.5803763402437	2416.5803763402437	0.0032208151012916614	0.0032208151012916614	0.0032208151012916614	7.81087556930598	7.81087556930598	0.15833116818788753
centered_total	101	log_tau_load	0.0	1894.5589177510224	1894.5589177510224	1843.2510726127018	1843.2510726127018	0.005287233439665858	0.005287233439665858	0.005287233439665858	4.1064299964807836	4.1064299964807836	0.22699732180395865
centered_total	101	log_sigma_intercept	0.0	3076.954506877631	3076.954506877631	3092.520184063529	3092.520184063529	0.00026587421744814216	0.00026587421744814216	0.00026587421744814216	6.051434629235876	6.051434629235876	0.01478538017801199
centered_total	101	log_sigma_subj_slope	0.0	3319.6173549091636	3319.6173549091636	3310.15102989027	3310.15102989027	4.737637551125306e-5	4.737637551125306e-5	4.737637551125306e-5	0.07821230571321935	0.07821230571321935	0.002725748219488433
centered_total	101	deviation_intercept[701]	0.9910537886375682	2590.2676302728296	2016.7902084074774	2593.6957661921742	2013.2268581625005	1.0042163845295407	12.383166520260382	12.07833630779705	-4862.635452114336	-4856.38866007863	540.7135366796729
centered_total	101	deviation_intercept[702]	0.9954066422869504	2575.028179025755	2018.1382758275438	2577.35399679621	2016.5574809851164	0.7202672791037468	12.321369970094834	12.058048862508329	-3924.5844766818323	-3918.337684646125	539.5299874034527
centered_total	101	deviation_intercept[703]	0.9944845633447262	2967.544340745767	1995.255452476345	2963.745696076415	1996.2043383193256	0.7363534306211011	12.350155751522488	12.059020432525951	-3643.4491824273887	-3637.2023903916825	539.7800536160079
centered_total	101	deviation_intercept[704]	0.9936316721834674	2434.141076984228	2014.2991211881824	2399.9115499088284	2014.4733371505806	0.8796668575644438	12.355126187072702	12.06861927469701	-663.1716585394046	-656.9248665036973	540.0116660437957
