parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.81087556930598	0.15833116818788762	2491.1529243351583	1505.1335512120575	1.0024177029551438
log_tau_load	4.1064299964807836	0.22699732180395887	1894.5589177510224	1198.2714151554399	0.9997456253451537
log_sigma_intercept	6.051434629235876	0.014785380178011993	3076.954506877631	1289.423902669156	0.9998381496080326
log_sigma_subj_slope	0.07821230571321935	0.0027257482194884344	3319.6173549091636	1377.6291319391983	1.000869831485564
total_intercept[701]	616.1833324229813	50.76547299462222	2708.4099151136147	1538.6833170072227	1.0015777186185075
total_intercept[702]	1554.2343078554873	33.504257166334064	2513.2876363476016	1538.355757018401	1.0008492851804855
total_intercept[703]	1835.36960210993	38.4251593670236	3052.495419512404	1211.4011256386825	0.9996334942889584
total_intercept[704]	4815.647125997916	40.86617844920971	2457.7285075851382	1267.3607333610234	0.9997332098328068
total_intercept[705]	4119.338543707876	45.824243443681034	1780.6879158834208	1478.933222829319	1.0001555421628858
total_intercept[706]	5511.380021808092	47.048548822401514	2193.565310285173	1254.518615292808	1.0016380914228575
total_intercept[707]	5382.9160672037215	50.43624872890909	3091.0273388613905	1395.3993844790061	0.9995045821978634
total_intercept[708]	5019.816257730171	52.72748313895398	2876.865548425568	1365.1826175365024	0.9995254208635314
total_intercept[709]	4326.765190103526	57.986982354419474	1831.7140408431023	1382.3862352183255	1.0018791639106917
total_intercept[710]	5651.085103471419	64.41441675568628	2746.787388491792	1332.4711094680758	1.0008685934922465
total_intercept[711]	3736.1076110207105	65.4406242282126	2252.210297594607	1483.7451694835509	1.001966472388862
total_intercept[712]	6559.389802411815	74.7175826167838	2164.4380066748618	1697.6616059880603	0.9995321367215221
total_intercept[713]	9359.341028179526	77.3348625845064	2554.234810869991	1780.39785735307	1.0006802166284288
total_intercept[714]	5616.173727508069	78.88890136931207	2658.956551393126	1721.491186302515	1.0006387693944145
total_intercept[715]	6385.319269460039	90.81298092489116	3164.7811449712262	1689.2791398137276	0.9997014623934738
total_intercept[716]	6235.658453848416	126.56833730271809	2633.0902351784325	1674.690410147928	1.000454303699814
total_intercept[717]	6954.943802230686	105.08886228025945	2648.295297805289	1521.9237861836602	0.9995234203548387
total_intercept[718]	6780.616790215856	113.70976386578965	2519.7789728383605	1659.7708748972454	0.999504199610686
total_intercept[719]	10158.638959275157	114.27270536954649	2081.9279433473293	1238.3266872364566	1.000280214225611
total_intercept[720]	8770.292523863829	124.77394300424031	2288.258136847339	1496.4914049907652	0.9996581441740526
total_load[701]	35.420257949507146	17.03135615330218	2421.375335885371	1601.2583686620053	1.0006986425777444
total_load[702]	22.51432751763092	10.903961550636142	2431.299297864927	1495.2445544109025	0.9996959945455358
total_load[703]	20.64679653899302	12.70765993284055	2921.4167446273486	1555.8156470026654	0.9995433762451391
total_load[704]	69.77561922500722	13.636306385558589	2232.6895583752985	1231.9640262339062	1.0004123049458855
total_load[705]	37.94393079383079	15.003089030993003	1702.2751137857306	1323.7133197547369	1.0004013913237133
total_load[706]	52.23806750778813	15.683484780882013	2177.7744358924	1298.8281371204696	1.000462417734694
total_load[707]	57.74360156184312	16.576123169546243	3331.115613519774	1261.9035395559333	0.9995565942337696
total_load[708]	33.94784717072581	17.112830384385344	2555.8668001565306	1529.810606933546	0.9995463766429309
total_load[709]	14.93009665625245	18.94066798499685	2192.4198010298655	1454.2630477501186	1.0001726647455318
total_load[710]	-14.480484990292986	20.98198719811441	2512.7612876081475	1616.5410924962275	0.999765758598326
total_load[711]	72.1905191236899	21.028520133235897	2272.778036701262	1368.4611062985805	1.0011348224125793
total_load[712]	175.08507688298477	25.12559471146022	1824.9241903928385	1502.98933473142	0.9995926487131086
total_load[713]	44.86836689156307	24.454206925495914	3159.089815095445	1566.1221434034212	0.9998315131041016
total_load[714]	56.07191614336327	25.232728743079463	2545.160071977967	1718.5860915861408	0.9998283413287511
total_load[715]	16.947719023728457	28.694696986836107	3086.9282326826155	1524.0303967826524	0.9995028423314158
total_load[716]	24.48026595027253	37.91732377020856	2533.9132706831206	1481.717591236509	1.0002566832385025
total_load[717]	151.90675606633718	34.779554376763514	2835.083732614262	1414.2524833405503	0.9996281061502118
total_load[718]	171.1622981133269	36.126795189172356	2204.9195336075236	1593.0161728377666	1.0000225944975618
total_load[719]	28.003809675024087	35.65198040929936	2158.331767191001	1430.6537341917394	1.0002767169829339
total_load[720]	103.2504181282466	38.09233297095645	2071.846772692215	1626.342476691044	0.9995549151463292
log_intercept_mixture_precision	-0.005265564033011682	0.7614073130150023	2310.7572599452274	1184.508919698348	1.0000504655791846
