point	density_error	gradient_error
1	1.4551915228366852e-11	8.593344768599795e-8
2	3.2741809263825417e-11	1.1458843127361255e-7
3	1.0913936421275139e-11	1.0128808330641876e-7
4	3.637978807091713e-12	2.114559618015789e-7
5	1.4551915228366852e-11	2.298970380413083e-8
6	3.2741809263825417e-11	2.8155265071099306e-7
7	3.2741809263825417e-11	9.737550491396626e-8
8	1.0913936421275139e-11	2.682859533641682e-7
9	1.8189894035458565e-11	5.708443572521743e-7
10	2.546585164964199e-11	8.557054849926055e-8
11	7.275957614183426e-12	1.7260322954735405e-7
12	3.637978807091713e-12	2.1609369541559638e-7
