brm	original
b_county_intercept_county_idx_tau.1	sigma_alpha
b_county_intercept_county_idx_z_flat.1	alpha_raw.1
b_county_intercept_county_idx_z_flat.2	alpha_raw.2
b_county_intercept_county_idx_z_flat.3	alpha_raw.3
b_county_intercept_county_idx_z_flat.4	alpha_raw.4
b_county_intercept_county_idx_z_flat.5	alpha_raw.5
b_county_intercept_county_idx_z_flat.6	alpha_raw.6
b_county_intercept_county_idx_z_flat.7	alpha_raw.7
b_county_intercept_county_idx_z_flat.8	alpha_raw.8
b_county_intercept_county_idx_z_flat.9	alpha_raw.9
b_county_intercept_county_idx_z_flat.10	alpha_raw.10
b_county_intercept_county_idx_z_flat.11	alpha_raw.11
b_county_intercept_county_idx_z_flat.12	alpha_raw.12
b_county_intercept_county_idx_z_flat.13	alpha_raw.13
b_county_intercept_county_idx_z_flat.14	alpha_raw.14
b_county_intercept_county_idx_z_flat.15	alpha_raw.15
b_county_intercept_county_idx_z_flat.16	alpha_raw.16
b_county_intercept_county_idx_z_flat.17	alpha_raw.17
b_county_intercept_county_idx_z_flat.18	alpha_raw.18
b_county_intercept_county_idx_z_flat.19	alpha_raw.19
b_county_intercept_county_idx_z_flat.20	alpha_raw.20
b_county_intercept_county_idx_z_flat.21	alpha_raw.21
b_county_intercept_county_idx_z_flat.22	alpha_raw.22
b_county_intercept_county_idx_z_flat.23	alpha_raw.23
b_county_intercept_county_idx_z_flat.24	alpha_raw.24
b_county_intercept_county_idx_z_flat.25	alpha_raw.25
b_county_intercept_county_idx_z_flat.26	alpha_raw.26
b_county_intercept_county_idx_z_flat.27	alpha_raw.27
b_county_intercept_county_idx_z_flat.28	alpha_raw.28
b_county_intercept_county_idx_z_flat.29	alpha_raw.29
b_county_intercept_county_idx_z_flat.30	alpha_raw.30
b_county_intercept_county_idx_z_flat.31	alpha_raw.31
b_county_intercept_county_idx_z_flat.32	alpha_raw.32
b_county_intercept_county_idx_z_flat.33	alpha_raw.33
b_county_intercept_county_idx_z_flat.34	alpha_raw.34
b_county_intercept_county_idx_z_flat.35	alpha_raw.35
b_county_intercept_county_idx_z_flat.36	alpha_raw.36
b_county_intercept_county_idx_z_flat.37	alpha_raw.37
b_county_intercept_county_idx_z_flat.38	alpha_raw.38
b_county_intercept_county_idx_z_flat.39	alpha_raw.39
b_county_intercept_county_idx_z_flat.40	alpha_raw.40
b_county_intercept_county_idx_z_flat.41	alpha_raw.41
b_county_intercept_county_idx_z_flat.42	alpha_raw.42
b_county_intercept_county_idx_z_flat.43	alpha_raw.43
b_county_intercept_county_idx_z_flat.44	alpha_raw.44
b_county_intercept_county_idx_z_flat.45	alpha_raw.45
b_county_intercept_county_idx_z_flat.46	alpha_raw.46
b_county_intercept_county_idx_z_flat.47	alpha_raw.47
b_county_intercept_county_idx_z_flat.48	alpha_raw.48
b_county_intercept_county_idx_z_flat.49	alpha_raw.49
b_county_intercept_county_idx_z_flat.50	alpha_raw.50
b_county_intercept_county_idx_z_flat.51	alpha_raw.51
b_county_intercept_county_idx_z_flat.52	alpha_raw.52
b_county_intercept_county_idx_z_flat.53	alpha_raw.53
b_county_intercept_county_idx_z_flat.54	alpha_raw.54
b_county_intercept_county_idx_z_flat.55	alpha_raw.55
b_county_intercept_county_idx_z_flat.56	alpha_raw.56
b_county_intercept_county_idx_z_flat.57	alpha_raw.57
b_county_intercept_county_idx_z_flat.58	alpha_raw.58
b_county_intercept_county_idx_z_flat.59	alpha_raw.59
b_county_intercept_county_idx_z_flat.60	alpha_raw.60
b_county_intercept_county_idx_z_flat.61	alpha_raw.61
b_county_intercept_county_idx_z_flat.62	alpha_raw.62
b_county_intercept_county_idx_z_flat.63	alpha_raw.63
b_county_intercept_county_idx_z_flat.64	alpha_raw.64
b_county_intercept_county_idx_z_flat.65	alpha_raw.65
b_county_intercept_county_idx_z_flat.66	alpha_raw.66
b_county_intercept_county_idx_z_flat.67	alpha_raw.67
b_county_intercept_county_idx_z_flat.68	alpha_raw.68
b_county_intercept_county_idx_z_flat.69	alpha_raw.69
b_county_intercept_county_idx_z_flat.70	alpha_raw.70
b_county_intercept_county_idx_z_flat.71	alpha_raw.71
b_county_intercept_county_idx_z_flat.72	alpha_raw.72
b_county_intercept_county_idx_z_flat.73	alpha_raw.73
b_county_intercept_county_idx_z_flat.74	alpha_raw.74
b_county_intercept_county_idx_z_flat.75	alpha_raw.75
b_county_intercept_county_idx_z_flat.76	alpha_raw.76
b_county_intercept_county_idx_z_flat.77	alpha_raw.77
b_county_intercept_county_idx_z_flat.78	alpha_raw.78
b_county_intercept_county_idx_z_flat.79	alpha_raw.79
b_county_intercept_county_idx_z_flat.80	alpha_raw.80
b_county_intercept_county_idx_z_flat.81	alpha_raw.81
b_county_intercept_county_idx_z_flat.82	alpha_raw.82
b_county_intercept_county_idx_z_flat.83	alpha_raw.83
b_county_intercept_county_idx_z_flat.84	alpha_raw.84
b_county_intercept_county_idx_z_flat.85	alpha_raw.85
b_county_intercept_county_idx_z_flat.86	alpha_raw.86
b_county_intercept_county_idx_z_flat.87	alpha_raw.87
b_county_intercept_county_idx_z_flat.88	alpha_raw.88
b_county_intercept_county_idx_z_flat.89	alpha_raw.89
b_county_intercept_county_idx_z_flat.90	alpha_raw.90
b_county_intercept_county_idx_z_flat.91	alpha_raw.91
b_county_intercept_county_idx_z_flat.92	alpha_raw.92
b_county_intercept_county_idx_z_flat.93	alpha_raw.93
b_county_intercept_county_idx_z_flat.94	alpha_raw.94
b_county_intercept_county_idx_z_flat.95	alpha_raw.95
b_county_intercept_county_idx_z_flat.96	alpha_raw.96
b_county_intercept_county_idx_z_flat.97	alpha_raw.97
b_county_intercept_county_idx_z_flat.98	alpha_raw.98
b_county_intercept_county_idx_z_flat.99	alpha_raw.99
b_county_intercept_county_idx_z_flat.100	alpha_raw.100
b_county_intercept_county_idx_z_flat.101	alpha_raw.101
b_county_intercept_county_idx_z_flat.102	alpha_raw.102
b_county_intercept_county_idx_z_flat.103	alpha_raw.103
b_county_intercept_county_idx_z_flat.104	alpha_raw.104
b_county_intercept_county_idx_z_flat.105	alpha_raw.105
b_county_intercept_county_idx_z_flat.106	alpha_raw.106
b_county_intercept_county_idx_z_flat.107	alpha_raw.107
b_county_intercept_county_idx_z_flat.108	alpha_raw.108
b_county_intercept_county_idx_z_flat.109	alpha_raw.109
b_county_intercept_county_idx_z_flat.110	alpha_raw.110
b_county_intercept_county_idx_z_flat.111	alpha_raw.111
b_county_intercept_county_idx_z_flat.112	alpha_raw.112
b_county_intercept_county_idx_z_flat.113	alpha_raw.113
b_county_intercept_county_idx_z_flat.114	alpha_raw.114
b_county_intercept_county_idx_z_flat.115	alpha_raw.115
b_county_intercept_county_idx_z_flat.116	alpha_raw.116
b_county_intercept_county_idx_z_flat.117	alpha_raw.117
b_county_intercept_county_idx_z_flat.118	alpha_raw.118
b_county_intercept_county_idx_z_flat.119	alpha_raw.119
b_county_intercept_county_idx_z_flat.120	alpha_raw.120
b_county_intercept_county_idx_z_flat.121	alpha_raw.121
b_county_intercept_county_idx_z_flat.122	alpha_raw.122
b_county_intercept_county_idx_z_flat.123	alpha_raw.123
b_county_intercept_county_idx_z_flat.124	alpha_raw.124
b_county_intercept_county_idx_z_flat.125	alpha_raw.125
