source_revision	posterior	model	parametrization	data	observations	groups	likelihood_covariates	varying_effect_vectors	hierarchical_effect_vectors	hierarchical_effect_cells	total_scalar_parameters	most_complex
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_all-radon_county_intercept	radon_county_intercept	noncentered	radon_all	12573	386	floor_measure	1	0	0	389	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_all-radon_hierarchical_intercept_centered	radon_hierarchical_intercept_centered	centered	radon_all	12573	386	log_uppm;floor_measure	1	1	386	391	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_all-radon_hierarchical_intercept_noncentered	radon_hierarchical_intercept_noncentered	noncentered	radon_all	12573	386	log_uppm;floor_measure	1	1	386	391	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_all-radon_partially_pooled_centered	radon_partially_pooled_centered	centered	radon_all	12573	386		1	1	386	389	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_all-radon_partially_pooled_noncentered	radon_partially_pooled_noncentered	noncentered	radon_all	12573	386		1	1	386	389	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_all-radon_pooled	radon_pooled	noncentered	radon_all	12573	386	floor_measure	0	0	0	3	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_all-radon_variable_intercept_centered	radon_variable_intercept_centered	centered	radon_all	12573	386	floor_measure	1	1	386	390	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_all-radon_variable_intercept_noncentered	radon_variable_intercept_noncentered	noncentered	radon_all	12573	386	floor_measure	1	1	386	390	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_all-radon_variable_intercept_slope_centered	radon_variable_intercept_slope_centered	centered	radon_all	12573	386	floor_measure	2	2	772	777	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_all-radon_variable_intercept_slope_noncentered	radon_variable_intercept_slope_noncentered	noncentered	radon_all	12573	386	floor_measure	2	2	772	777	yes
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_all-radon_variable_slope_centered	radon_variable_slope_centered	centered	radon_all	12573	386	floor_measure	1	1	386	390	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_all-radon_variable_slope_noncentered	radon_variable_slope_noncentered	noncentered	radon_all	12573	386	floor_measure	1	1	386	390	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_mn-radon_county_intercept	radon_county_intercept	noncentered	radon_mn	919	85	floor_measure	1	0	0	88	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_mn-radon_hierarchical_intercept_centered	radon_hierarchical_intercept_centered	centered	radon_mn	919	85	log_uppm;floor_measure	1	1	85	90	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_mn-radon_hierarchical_intercept_noncentered	radon_hierarchical_intercept_noncentered	noncentered	radon_mn	919	85	log_uppm;floor_measure	1	1	85	90	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_mn-radon_partially_pooled_centered	radon_partially_pooled_centered	centered	radon_mn	919	85		1	1	85	88	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_mn-radon_partially_pooled_noncentered	radon_partially_pooled_noncentered	noncentered	radon_mn	919	85		1	1	85	88	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_mn-radon_pooled	radon_pooled	noncentered	radon_mn	919	85	floor_measure	0	0	0	3	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_mn-radon_variable_intercept_centered	radon_variable_intercept_centered	centered	radon_mn	919	85	floor_measure	1	1	85	89	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_mn-radon_variable_intercept_noncentered	radon_variable_intercept_noncentered	noncentered	radon_mn	919	85	floor_measure	1	1	85	89	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_mn-radon_variable_intercept_slope_centered	radon_variable_intercept_slope_centered	centered	radon_mn	919	85	floor_measure	2	2	170	175	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_mn-radon_variable_intercept_slope_noncentered	radon_variable_intercept_slope_noncentered	noncentered	radon_mn	919	85	floor_measure	2	2	170	175	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_mn-radon_variable_slope_centered	radon_variable_slope_centered	centered	radon_mn	919	85	floor_measure	1	1	85	89	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_mn-radon_variable_slope_noncentered	radon_variable_slope_noncentered	noncentered	radon_mn	919	85	floor_measure	1	1	85	89	no
5545a1dd07ae297c36edecbcd82aa49097b4c385	radon_mod-radon_county	radon_county	noncentered	radon_mod	12573	386		1	1	386	775	no
