arm	draws	min_bulk_ess	limiting_qoi	min_tail_ess	sampling_gradients	fit_gradients	pilot_gradients	total_gradients	ess_per_1000_sampling_gradients	ess_per_1000_total_gradients	divergences	max_split_rhat	fit_seconds	model	sampler	relative_sampling_efficiency	relative_total_efficiency	numerical_rejections
rbest_ncp_native	10000	2402.7324416330557	between_trial_sd	2402.2560760296624	270080	328781	0	328781	8.896373080691113	7.308002718019155	0	1.0004420570020758	NaN	RBesT 1.11 NCP (its control)	Native Stan	1.0	1.0	0
rbest_cp_native	10000	75.2673646586042	between_trial_sd	24.822771054217345	251957	323012	0	323012	0.29873099242570833	0.23301723978862762	533	1.0331660564979757	NaN	RBesT 1.11 CP (its control)	Native Stan	0.033578964114497484	0.03188521526053664	0
stan_ncp_native	10000	2869.818318546074	between_trial_sd	3277.453316655032	132059	145801	0	145801	21.73133461972356	19.68311821281112	4	1.0006083069609206	NaN	RBesT 1.11 NCP (Stan defaults)	Native Stan	2.442718445215583	2.6933649277769094	0
stan_cp_native	10000	71.18726179194036	between_trial_sd	24.805191164390422	127537	138693	0	138693	0.5581694864387617	0.5132722040185183	670	1.0229637664549003	NaN	RBesT 1.11 CP (Stan defaults)	Native Stan	0.06274124088278461	0.0702342656158236	0
s2z_ncp_native	10000	3212.9258319024	between_trial_sd	3226.3551359390267	221396	262110	0	262110	14.512122314325463	12.257929235444662	0	1.0004658639162958	NaN	RBesT PR64 S2Z NCP	Native Stan	1.631240302390521	1.6773295944760118	0
s2z_cp_native	10000	2309.772422842881	between_trial_sd	1723.254111123701	148748	182173	0	182173	15.528090615288146	12.679005246896528	9	1.0000563194609695	NaN	RBesT PR64 S2Z CP	Native Stan	1.7454405828584978	1.7349480748870316	0
ordinary_ncp	10000	2437.569432289872	between_trial_sd	1998.5566872513327	126968	128794	0	128794	19.198297463060552	18.926110162661864	1	1.00063369853529	8.437739526	BRM ordinary NCP	WHMC	2.157991497088737	2.589778752544281	0
ordinary_cp	10000	890.0403825842023	between_trial_sd	718.231576659266	92838	94686	0	94686	9.587026676406238	9.399915326280572	4	1.0009804768995934	28.026594885	BRM ordinary CP	WHMC	1.0776331645998676	1.2862495662602098	7
ordinary_posthoc_position	10000	2232.354503000553	between_trial_sd	1669.8269165885115	87254	91044	128794	219838	25.58455203200487	10.15454335920338	0	1.0004284197420763	0.514119784	BRM ordinary post-hoc position	WHMC	2.875840727445902	1.389510068758675	0
ordinary_posthoc_gradient	10000	2505.204420154093	between_trial_sd	2071.9126402077845	79128	80676	128794	209470	31.66015089670019	11.959728935666648	1	1.0008966270256814	0.415390762	BRM ordinary post-hoc gradient	WHMC	3.5587705921884156	1.6365249709305458	0
ordinary_online_position	10000	2284.43621454768	population_mean	2328.156822172927	81845	83667	0	83667	27.91173821916647	27.303909720053063	14	1.0005707064828242	5.942010709	BRM ordinary online position	WHMC	3.137428923675282	3.736165786136137	0
ordinary_online_gradient	10000	2596.154462363037	between_trial_sd	1719.8133245088045	119227	121115	0	121115	21.774887083991356	21.4354494683816	5	1.0009540082131945	2.77065653	BRM ordinary online gradient	WHMC	2.4476139755483115	2.9331474406172235	0
total_ncp	10000	373.59327338026645	between_trial_sd	215.99007254479693	129611	133444	0	133444	2.882419496649717	2.7996258608874616	6	1.0005612528075662	51.627668624	BRM total NCP	WHMC	0.3239993950912181	0.38309042414345246	0
total_cp	10000	1912.2223365794641	between_trial_sd	996.3254491395845	86310	87205	0	87205	22.155281387781997	21.927897902407707	61	1.0005076621406344	0.917970081	BRM total CP	WHMC	2.490372333402734	3.0005322587443284	0
total_posthoc_position	10000	1370.3205822553878	between_trial_sd	508.1996121642096	66898	70575	133444	204019	20.483730190071267	6.716632187469734	40	1.0016375323999882	0.73244433	BRM total post-hoc position	WHMC	2.3024810228035077	0.9190790489046625	0
total_posthoc_gradient	10000	2153.494434949225	between_trial_sd	1202.3267444575138	103437	105170	133444	238614	20.819382183833877	9.02501292861787	7	1.0005250571428788	1.529712722	BRM total post-hoc gradient	WHMC	2.340210105286696	1.2349493119871353	0
total_online_position	10000	136.40396365224788	between_trial_sd	32.67807451690932	67758	69353	0	69353	2.013104927126655	1.9668069680078422	79	1.0044382504598437	1.557862471	BRM total online position	WHMC	0.22628377979065903	0.2691305742345082	0
total_online_gradient	10000	1009.8435276954189	between_trial_sd	435.3488119370755	87339	89144	0	89144	11.56234360017196	11.328227673151517	19	1.0019969458716105	1.813443514	BRM total online gradient	WHMC	1.2996693703490392	1.550112679244056	0
