model	sampler	metric	value
RBesT 1.11 NCP (its control)	Native Stan	1. Total gradients	328781.0
RBesT 1.11 NCP (its control)	Native Stan	2. Sampling efficiency	1.0
RBesT 1.11 NCP (its control)	Native Stan	3. Total efficiency	1.0
RBesT 1.11 CP (its control)	Native Stan	1. Total gradients	323012.0
RBesT 1.11 CP (its control)	Native Stan	2. Sampling efficiency	0.033578964114497484
RBesT 1.11 CP (its control)	Native Stan	3. Total efficiency	0.03188521526053664
RBesT 1.11 NCP (Stan defaults)	Native Stan	1. Total gradients	145801.0
RBesT 1.11 NCP (Stan defaults)	Native Stan	2. Sampling efficiency	2.442718445215583
RBesT 1.11 NCP (Stan defaults)	Native Stan	3. Total efficiency	2.6933649277769094
RBesT 1.11 CP (Stan defaults)	Native Stan	1. Total gradients	138693.0
RBesT 1.11 CP (Stan defaults)	Native Stan	2. Sampling efficiency	0.06274124088278461
RBesT 1.11 CP (Stan defaults)	Native Stan	3. Total efficiency	0.0702342656158236
RBesT PR64 S2Z NCP	Native Stan	1. Total gradients	262110.0
RBesT PR64 S2Z NCP	Native Stan	2. Sampling efficiency	1.631240302390521
RBesT PR64 S2Z NCP	Native Stan	3. Total efficiency	1.6773295944760118
RBesT PR64 S2Z CP	Native Stan	1. Total gradients	182173.0
RBesT PR64 S2Z CP	Native Stan	2. Sampling efficiency	1.7454405828584978
RBesT PR64 S2Z CP	Native Stan	3. Total efficiency	1.7349480748870316
BRM ordinary NCP	WHMC	1. Total gradients	128794.0
BRM ordinary NCP	WHMC	2. Sampling efficiency	2.157991497088737
BRM ordinary NCP	WHMC	3. Total efficiency	2.589778752544281
BRM ordinary CP	WHMC	1. Total gradients	94686.0
BRM ordinary CP	WHMC	2. Sampling efficiency	1.0776331645998676
BRM ordinary CP	WHMC	3. Total efficiency	1.2862495662602098
BRM ordinary post-hoc position	WHMC	1. Total gradients	219838.0
BRM ordinary post-hoc position	WHMC	2. Sampling efficiency	2.875840727445902
BRM ordinary post-hoc position	WHMC	3. Total efficiency	1.389510068758675
BRM ordinary post-hoc gradient	WHMC	1. Total gradients	209470.0
BRM ordinary post-hoc gradient	WHMC	2. Sampling efficiency	3.5587705921884156
BRM ordinary post-hoc gradient	WHMC	3. Total efficiency	1.6365249709305458
BRM ordinary online position	WHMC	1. Total gradients	83667.0
BRM ordinary online position	WHMC	2. Sampling efficiency	3.137428923675282
BRM ordinary online position	WHMC	3. Total efficiency	3.736165786136137
BRM ordinary online gradient	WHMC	1. Total gradients	121115.0
BRM ordinary online gradient	WHMC	2. Sampling efficiency	2.4476139755483115
BRM ordinary online gradient	WHMC	3. Total efficiency	2.9331474406172235
BRM total NCP	WHMC	1. Total gradients	133444.0
BRM total NCP	WHMC	2. Sampling efficiency	0.3239993950912181
BRM total NCP	WHMC	3. Total efficiency	0.38309042414345246
BRM total CP	WHMC	1. Total gradients	87205.0
BRM total CP	WHMC	2. Sampling efficiency	2.490372333402734
BRM total CP	WHMC	3. Total efficiency	3.0005322587443284
BRM total post-hoc position	WHMC	1. Total gradients	204019.0
BRM total post-hoc position	WHMC	2. Sampling efficiency	2.3024810228035077
BRM total post-hoc position	WHMC	3. Total efficiency	0.9190790489046625
BRM total post-hoc gradient	WHMC	1. Total gradients	238614.0
BRM total post-hoc gradient	WHMC	2. Sampling efficiency	2.340210105286696
BRM total post-hoc gradient	WHMC	3. Total efficiency	1.2349493119871353
BRM total online position	WHMC	1. Total gradients	69353.0
BRM total online position	WHMC	2. Sampling efficiency	0.22628377979065903
BRM total online position	WHMC	3. Total efficiency	0.2691305742345082
BRM total online gradient	WHMC	1. Total gradients	89144.0
BRM total online gradient	WHMC	2. Sampling efficiency	1.2996693703490392
BRM total online gradient	WHMC	3. Total efficiency	1.550112679244056
