arm	max_z	worst_parameter	n_over_3
ordinary_cp	2.710124687516416	trial_7_total	0
ordinary_ncp	1.3105205439156853	trial_6_total	0
ordinary_online_gradient	1.6638628871730146	between_trial_sd	0
ordinary_online_position	0.8320511499584896	trial_7_total	0
ordinary_posthoc_gradient	0.7112229933892877	trial_2_total	0
ordinary_posthoc_position	1.9833718493836088	trial_3_total	0
rbest_cp_native	2.3429958780149978	trial_6_total	0
rbest_ncp_native	0.0	population_mean	0
s2z_cp_native	1.7398897643579676	trial_1_total	0
s2z_ncp_native	1.8927752951647745	trial_4_total	0
stan_cp_native	2.667751012430236	population_mean	0
stan_ncp_native	1.5535892892666614	trial_3_total	0
total_cp	2.436471097830931	trial_5_total	0
total_ncp	1.3236413228782935	trial_6_total	0
total_online_gradient	1.3862186396390628	trial_6_total	0
total_online_position	2.7456887397793204	trial_1_total	0
total_posthoc_gradient	2.235650457119683	trial_5_total	0
total_posthoc_position	2.431219720818016	trial_3_total	0
