panel	column	draw	log_group_sd	coordinate
1: Study 7, c=0.13	1. CP	1	-3.0483305666283416	-0.07471062566832665
1: Study 7, c=0.13	1. CP	2	-2.6352225342830202	-0.03120546559475628
1: Study 7, c=0.13	1. CP	3	-1.6970541757369744	-0.09896979258086848
1: Study 7, c=0.13	1. CP	4	-1.0326848988767559	-0.1633044598998573
1: Study 7, c=0.13	1. CP	5	-0.7532189143514313	-0.3230707636363383
1: Study 7, c=0.13	1. CP	6	-1.5292819294567475	-0.3921170570889071
1: Study 7, c=0.13	1. CP	7	-0.6303231359833622	-0.32333826095772056
1: Study 7, c=0.13	1. CP	8	-1.61129397591786	-0.44132932052279467
1: Study 7, c=0.13	1. CP	9	-1.6347127030822175	-0.4550672621851387
1: Study 7, c=0.13	1. CP	10	-1.591034060088442	-0.6113240203461202
1: Study 7, c=0.13	1. CP	11	-0.9343782910179934	-0.8427275591989557
1: Study 7, c=0.13	1. CP	12	-1.2589678809705882	-0.2788631257134336
1: Study 7, c=0.13	1. CP	13	-1.6880766979947752	-0.16780404585649408
1: Study 7, c=0.13	1. CP	14	-2.0172412046057495	-0.15625077714233976
1: Study 7, c=0.13	1. CP	15	-0.9157237667763752	-0.5028597376352032
1: Study 7, c=0.13	1. CP	16	-1.0353124944924095	-0.644731599621134
1: Study 7, c=0.13	1. CP	17	-0.5700461623277172	-0.5085271346356259
1: Study 7, c=0.13	1. CP	18	-1.2191693160858423	-0.5001669809395846
1: Study 7, c=0.13	1. CP	19	-0.48245348522605613	-0.5209023731042592
1: Study 7, c=0.13	1. CP	20	-0.10685372413856498	-0.5071504009252269
1: Study 7, c=0.13	1. CP	21	-1.7301170525168816	-0.4811284899892499
1: Study 7, c=0.13	1. CP	22	-1.813880584226249	-0.3829250881726609
1: Study 7, c=0.13	1. CP	23	-1.8306081454971745	-0.35626582555064884
1: Study 7, c=0.13	1. CP	24	-1.962374873993206	-0.2606594148719973
1: Study 7, c=0.13	1. CP	25	-1.0745854735150548	-0.7395407520558123
