arm	seed	min_bulk_ess	limiting_qoi	population_mean_ess	population_mean
total_ncp	1	373.59327338026645	between_trial_sd	10134.66564010871	-1.105255119420293
total_ncp	2	373.59327338026645	between_trial_sd	11524.410222293773	-1.1047297463831598
total_ncp	3	373.59327338026645	between_trial_sd	10113.092876479239	-1.1059262326464803
total_ncp	4	373.59327338026645	between_trial_sd	11369.725452005354	-1.1069530535153675
total_ncp	5	373.59327338026645	between_trial_sd	10737.592790420167	-1.1065920620124046
total_ncp	6	373.59327338026645	between_trial_sd	10722.473708619875	-1.1051056812894309
total_ncp	7	373.59327338026645	between_trial_sd	10107.303756635773	-1.1032658432937894
total_ncp	8	373.59327338026645	between_trial_sd	10581.838647650256	-1.103325621007591
total_ncp	9	373.59327338026645	between_trial_sd	9856.382530179773	-1.1049850672656036
total_ncp	10	373.59327338026645	between_trial_sd	9864.061903759653	-1.1028944051304281
total_cp	1	1912.2223365794641	between_trial_sd	7279.340091282138	-1.102517319773616
total_cp	2	1912.2223365794641	between_trial_sd	7199.55989528298	-1.1035947874367695
total_cp	3	1912.2223365794641	between_trial_sd	7437.7270970296995	-1.1017007129265832
total_cp	4	1912.2223365794641	between_trial_sd	7481.609571373694	-1.1044036096684415
total_cp	5	1912.2223365794641	between_trial_sd	7856.909892968646	-1.1036072903341152
total_cp	6	1912.2223365794641	between_trial_sd	7500.878123202221	-1.1029742747942448
total_cp	7	1912.2223365794641	between_trial_sd	7446.54165767221	-1.1008597059251082
total_cp	8	1912.2223365794641	between_trial_sd	7570.962276186312	-1.10048336958808
total_cp	9	1912.2223365794641	between_trial_sd	6819.2885728560095	-1.1036873965531544
total_cp	10	1912.2223365794641	between_trial_sd	7851.194482146211	-1.100751636044438
total_posthoc_position	1	1370.3205822553878	between_trial_sd	7867.7036635362965	-1.1031395546505482
total_posthoc_position	2	1370.3205822553878	between_trial_sd	8779.562188370408	-1.1053087022777848
total_posthoc_position	3	1370.3205822553878	between_trial_sd	6717.2086025797835	-1.1039959239519581
total_posthoc_position	4	1370.3205822553878	between_trial_sd	9545.479544616872	-1.1047138047123921
total_posthoc_position	5	1370.3205822553878	between_trial_sd	7881.443627019724	-1.1051640325103218
total_posthoc_position	6	1370.3205822553878	between_trial_sd	9103.081236942044	-1.1032531885917267
total_posthoc_position	7	1370.3205822553878	between_trial_sd	8797.297285992205	-1.1016757004468072
total_posthoc_position	8	1370.3205822553878	between_trial_sd	8345.176320550509	-1.102457852870832
total_posthoc_position	9	1370.3205822553878	between_trial_sd	8363.18260808678	-1.1038897542781896
total_posthoc_position	10	1370.3205822553878	between_trial_sd	7948.874814755323	-1.1002763104860103
total_posthoc_gradient	1	2153.494434949225	between_trial_sd	6856.2339095498955	-1.101368050559418
total_posthoc_gradient	2	2153.494434949225	between_trial_sd	7761.620615412103	-1.101711592284249
total_posthoc_gradient	3	2153.494434949225	between_trial_sd	7731.570134494868	-1.100930697666793
total_posthoc_gradient	4	2153.494434949225	between_trial_sd	8339.300847292157	-1.1025142678462383
total_posthoc_gradient	5	2153.494434949225	between_trial_sd	7020.172139790747	-1.1037478981553333
total_posthoc_gradient	6	2153.494434949225	between_trial_sd	7876.481504173891	-1.1029912848164092
total_posthoc_gradient	7	2153.494434949225	between_trial_sd	7383.827699540169	-1.1014837910818112
total_posthoc_gradient	8	2153.494434949225	between_trial_sd	7686.325950379952	-1.1001736041504757
total_posthoc_gradient	9	2153.494434949225	between_trial_sd	6716.984382294669	-1.1024477023337036
total_posthoc_gradient	10	2153.494434949225	between_trial_sd	7551.76064062575	-1.1003347156410501
total_online_position	1	136.40396365224788	between_trial_sd	984.3031986999678	-1.11320132585829
total_online_position	2	136.40396365224788	between_trial_sd	905.9626912557947	-1.1140746248641031
total_online_position	3	136.40396365224788	between_trial_sd	895.5740059690781	-1.1127364109903612
total_online_position	4	136.40396365224788	between_trial_sd	874.712010838395	-1.113747365177127
total_online_position	5	136.40396365224788	between_trial_sd	1018.6399843995205	-1.1133491769903117
total_online_position	6	136.40396365224788	between_trial_sd	791.5705705070724	-1.1134090197041047
total_online_position	7	136.40396365224788	between_trial_sd	747.321232309415	-1.1108526106536172
total_online_position	8	136.40396365224788	between_trial_sd	833.3693645089518	-1.1105625164737523
total_online_position	9	136.40396365224788	between_trial_sd	859.7398765773055	-1.1129938531198138
total_online_position	10	136.40396365224788	between_trial_sd	751.4074041368945	-1.111230520495351
total_online_gradient	1	1009.8435276954189	between_trial_sd	6445.764644980646	-1.1018526406810905
total_online_gradient	2	1009.8435276954189	between_trial_sd	6505.370111091985	-1.10387889213411
total_online_gradient	3	1009.8435276954189	between_trial_sd	6766.148517122659	-1.1027770116651157
total_online_gradient	4	1009.8435276954189	between_trial_sd	7206.451276684434	-1.102616935010529
total_online_gradient	5	1009.8435276954189	between_trial_sd	7196.320922429474	-1.1045753558950122
total_online_gradient	6	1009.8435276954189	between_trial_sd	6347.131141978257	-1.1025679864973545
total_online_gradient	7	1009.8435276954189	between_trial_sd	7356.976749788046	-1.101878762216513
total_online_gradient	8	1009.8435276954189	between_trial_sd	6916.194912859389	-1.1005081600292428
total_online_gradient	9	1009.8435276954189	between_trial_sd	6327.277181026883	-1.1023031791520719
total_online_gradient	10	1009.8435276954189	between_trial_sd	6898.639157306403	-1.1002755357056053
