panel	column	draw	log_group_sd	coordinate
1: Study 7, c=0.80	1. CP	1	-1.8735030164842836	-1.1717330905442063
1: Study 7, c=0.80	1. CP	2	-0.6739108728431499	-2.017880552868416
1: Study 7, c=0.80	1. CP	3	-1.42687099832053	-1.1707315525073918
1: Study 7, c=0.80	1. CP	4	-1.751696841727435	-1.2559792117726407
1: Study 7, c=0.80	1. CP	5	-1.3678610323221503	-2.079123168431232
1: Study 7, c=0.80	1. CP	6	-1.0349280333034254	-1.073081792647342
1: Study 7, c=0.80	1. CP	7	-1.3873626461550785	-1.4549434317648768
1: Study 7, c=0.80	1. CP	8	-0.26854495223269415	-1.8900969351452481
1: Study 7, c=0.80	1. CP	9	-1.7414136266695455	-1.2377108375851757
1: Study 7, c=0.80	1. CP	10	-0.4777886486234462	-2.1216504407345536
1: Study 7, c=0.80	1. CP	11	-1.2875982945487479	-1.1431420013062836
1: Study 7, c=0.80	1. CP	12	-1.062977790536237	-1.314958808492983
1: Study 7, c=0.80	1. CP	13	-0.5762349372004123	-1.930038620399359
1: Study 7, c=0.80	1. CP	14	-1.1687144669426017	-1.3866834247636608
1: Study 7, c=0.80	1. CP	15	-1.980192144593223	-1.187688886495225
1: Study 7, c=0.80	1. CP	16	-2.0729317783678445	-1.372486099720723
1: Study 7, c=0.80	1. CP	17	-2.18251449894854	-1.3107816033439286
1: Study 7, c=0.80	1. CP	18	-2.18251449894854	-1.3107816033439286
1: Study 7, c=0.80	1. CP	19	-2.18251449894854	-1.3107816033439286
1: Study 7, c=0.80	1. CP	20	-2.18251449894854	-1.3107816033439286
1: Study 7, c=0.80	1. CP	21	-1.8952236297570362	-1.362476710484696
1: Study 7, c=0.80	1. CP	22	-1.8952236297570362	-1.362476710484696
1: Study 7, c=0.80	1. CP	23	-1.5834738636201346	-1.3234634346139242
1: Study 7, c=0.80	1. CP	24	-1.9449994040181764	-1.3140295760131053
1: Study 7, c=0.80	1. CP	25	-1.9449994040181764	-1.3140295760131053
1: Study 7, c=0.80	1. CP	26	-0.6202828679144374	-1.4790258256190365
1: Study 7, c=0.80	1. CP	27	-0.8447099382845041	-1.6931524593127436
1: Study 7, c=0.80	1. CP	28	-0.6182672009713297	-1.90159905614657
1: Study 7, c=0.80	1. CP	29	-0.6705663578990546	-1.8219975532765662
1: Study 7, c=0.80	1. CP	30	-1.273925625365561	-1.6668317826979853
1: Study 7, c=0.80	1. CP	31	-0.5699934924374328	-1.3302763881359285
1: Study 7, c=0.80	1. CP	32	-0.7230771525276606	-2.112506021580489
1: Study 7, c=0.80	1. CP	33	-0.6171826776837797	-1.2956593625314767
1: Study 7, c=0.80	1. CP	34	-0.25669318307805594	-1.6409432640872275
1: Study 7, c=0.80	1. CP	35	-0.6405866590019021	-1.6315210327973353
1: Study 7, c=0.80	1. CP	36	-0.5882777155330785	-1.4778237529096088
1: Study 7, c=0.80	1. CP	37	-0.4520333041176389	-1.7990017701079943
1: Study 7, c=0.80	1. CP	38	-1.114340646180737	-1.6474942905709442
1: Study 7, c=0.80	1. CP	39	0.0011449153013924768	-2.017658701480128
1: Study 7, c=0.80	1. CP	40	-1.9006495786047068	-1.2654190293202814
1: Study 7, c=0.80	1. CP	41	-0.9208890136963047	-1.4191471898896633
1: Study 7, c=0.80	1. CP	42	-0.770904279565849	-1.5919622769664994
1: Study 7, c=0.80	1. CP	43	-1.226043760617765	-1.6566376011522796
1: Study 7, c=0.80	1. CP	44	-1.311572735948489	-1.5355116245656175
1: Study 7, c=0.80	1. CP	45	-0.8750052409322964	-1.4770300561676637
1: Study 7, c=0.80	1. CP	46	0.16530001095753033	-1.4322216394050062
1: Study 7, c=0.80	1. CP	47	-1.0356405443441707	-2.072605118782141
1: Study 7, c=0.80	1. CP	48	-0.9013470220428124	-1.220394104365689
1: Study 7, c=0.80	1. CP	49	-0.8659948378994731	-1.3977073672370153
1: Study 7, c=0.80	1. CP	50	-1.082099789417833	-1.5866126631008202
1: Study 7, c=0.80	1. CP	51	-1.443824461026527	-1.4815798267020683
