arm	draws	min_bulk_ess	limiting_qoi	min_tail_ess	sampling_gradients	fit_gradients	pilot_gradients	total_gradients	ess_per_1000_sampling_gradients	ess_per_1000_total_gradients	divergences	max_split_rhat	fit_seconds	model	sampler	relative_sampling_efficiency	relative_total_efficiency
rbest_ncp_native	10000	1945.649681225309	between_trial_sd	2504.0763782140475	382998	466164	0	466164	5.080051805036342	4.173745036565048	0	1.000970064509928	NaN	RBesT 1.11 NCP (its control)	Native Stan	1.0	1.0
rbest_cp_native	10000	700.7012262129915	between_trial_sd	392.03764265222463	365848	446598	0	446598	1.9152796413072957	1.568975289215338	53	1.0012720265139479	NaN	RBesT 1.11 CP (its control)	Native Stan	0.3770197066511203	0.37591546092776895
stan_ncp_native	10000	1874.340885045169	population_mean	1511.2133225963132	206246	224025	0	224025	9.087889632017925	8.36665945785144	8	1.0019061565492844	NaN	RBesT 1.11 NCP (Stan defaults)	Native Stan	1.7889364086815474	2.0045928499593066
stan_cp_native	10000	1311.9855410524547	between_trial_sd	830.5442480573946	149287	163427	0	163427	8.788344203128569	8.027960747321156	124	1.0024292152063057	NaN	RBesT 1.11 CP (Stan defaults)	Native Stan	1.7299713743894978	1.9234430174795945
s2z_ncp_native	10000	2357.5309838083854	between_trial_sd	2957.578609391851	198804	246616	0	246616	11.85856916263448	9.55952161988024	0	1.0014318323352747	NaN	RBesT PR64 S2Z NCP	Native Stan	2.334340203160516	2.290394246924971
s2z_cp_native	10000	1681.2868831317044	between_trial_sd	1052.2264087759186	133024	167317	0	167317	12.638974043268165	10.048512004946923	42	1.0007228253324258	NaN	RBesT PR64 S2Z CP	Native Stan	2.4879616445521164	2.4075529091774017
ordinary_ncp	10000	1115.1955252451294	between_trial_sd	760.5713601468829	185839	194050	0	194050	6.0008691676404275	5.74694936998263	7	1.0022571683185733	8.528369684	BRM ordinary NCP	WHMC	1.1812614118799323	1.376928710219519
ordinary_cp	10000	664.7615586066245	between_trial_sd	290.3868992501449	89843	97820	0	97820	7.399146940848196	6.795763224357232	44	1.0006016731874494	0.457626446	BRM ordinary CP	WHMC	1.456510135096007	1.6282171442724445
ordinary_posthoc_position	10000	2149.2238619858826	between_trial_sd	1712.4692457620179	119241	120978	194050	315028	18.02420192707108	6.822326466174063	9	1.00109821095147	0.495627249	BRM ordinary post-hoc position	WHMC	3.5480350631861595	1.634581510467341
ordinary_posthoc_gradient	10000	1707.617184661864	between_trial_sd	1226.7663215969671	96588	98331	194050	292381	17.67939272644494	5.84038355659863	12	1.0001425244404754	0.423989725	BRM ordinary post-hoc gradient	WHMC	3.4801599284711364	1.3993148851768888
ordinary_online_position	10000	1951.250686731747	between_trial_sd	1521.6916875220186	136254	138160	0	138160	14.320685533868708	14.12312309446835	0	1.000915894835061	3.735719089	BRM ordinary online position	WHMC	2.8190038376520574	3.3838011116490105
ordinary_online_gradient	10000	1761.8957565645776	between_trial_sd	1210.7160396342047	97790	99443	0	99443	18.01713627737578	17.71764484744605	47	1.0005572357417898	1.64252055	BRM ordinary online gradient	WHMC	3.546644201445676	4.245023280585318
total_ncp	10000	56.44055459340159	between_trial_sd	72.69516801897326	131584	387777	0	387777	0.4289317439308851	0.14554900005261165	510	1.0183353037957852	55.089293019	BRM total NCP	WHMC	0.08443452161366623	0.034872518272557704
total_cp	10000	922.8288223722093	between_trial_sd	314.912732808403	62688	70628	0	70628	14.720980448765461	13.066047776692095	134	1.0007769725379714	1.06939326	BRM total CP	WHMC	2.897801245682405	3.130533288982435
total_posthoc_position	10000	1406.796946726273	between_trial_sd	646.3407201191222	71341	73053	387777	460830	19.719333156617836	3.0527460163753943	42	1.0006552623447302	0.714769963	BRM total post-hoc position	WHMC	3.881718910241855	0.7314165071491225
total_posthoc_gradient	10000	1653.761833297665	between_trial_sd	750.7575477993457	74683	76441	387777	464218	22.1437520359073	3.562468136301619	59	1.0006694066158857	0.500661324	BRM total post-hoc gradient	WHMC	4.358961854277565	0.8535423474821298
total_online_position	10000	1237.3153119554988	between_trial_sd	489.5832737406978	67831	69343	0	69343	18.241148029005892	17.843406139848273	38	1.0012803863313278	1.228965831	BRM total online position	WHMC	3.5907405532600465	4.275154803067037
total_online_gradient	10000	2279.5151244722447	between_trial_sd	1332.6923774039467	69862	71425	0	71425	32.62882718033043	31.914807482985573	62	1.0002883304973003	1.25483131	BRM total online gradient	WHMC	6.422931976398814	7.646563746321014
