arm	max_z	worst_parameter	n_over_3
ordinary_cp	2.813323350690495	trial_4_total	0
ordinary_ncp	1.3043028321483559	trial_6_total	0
ordinary_online_gradient	1.5731187707543843	trial_6_total	0
ordinary_online_position	1.6794927893531186	trial_4_total	0
ordinary_posthoc_gradient	2.319695346249951	trial_6_total	0
ordinary_posthoc_position	1.2601867906079338	between_trial_sd	0
rbest_cp_native	2.035541102731385	trial_6_total	0
rbest_ncp_native	0.0	population_mean	0
s2z_cp_native	2.276577946915132	trial_3_total	0
s2z_ncp_native	1.004559783554811	trial_2_total	0
stan_cp_native	3.0885547556469923	trial_4_total	1
stan_ncp_native	1.658444109335364	trial_6_total	0
total_cp	3.1118139755908794	trial_3_total	1
total_ncp	1.1428652685893699	trial_2_total	0
total_online_gradient	2.5141653196066676	trial_3_total	0
total_online_position	4.6674104969035595	trial_3_total	1
total_posthoc_gradient	2.941225433242593	trial_4_total	0
total_posthoc_position	2.4163044538645244	trial_3_total	0
