panel	column	draw	log_group_sd	coordinate
1: APhTh04, c=0.07	1. CP	1	2.4482816121898128	4.742147850274478
1: APhTh04, c=0.07	1. CP	2	2.2945991715438963	-13.102000388542258
1: APhTh04, c=0.07	1. CP	3	3.0302943406632075	-20.34264487416896
1: APhTh04, c=0.07	1. CP	4	3.2218551244536338	-1.891002323655642
1: APhTh04, c=0.07	1. CP	5	3.0322741829089614	-3.9198936892097342
1: APhTh04, c=0.07	1. CP	6	2.2882137807791247	-2.873996169323841
1: APhTh04, c=0.07	1. CP	7	2.1978261467808133	-1.8010081708801824
1: APhTh04, c=0.07	1. CP	8	2.6792891086396824	-14.670836797959927
1: APhTh04, c=0.07	1. CP	9	2.243048280874032	-16.85308691898262
1: APhTh04, c=0.07	1. CP	10	2.6092945650641344	-2.7717224781882477
1: APhTh04, c=0.07	1. CP	11	2.1521555510812393	-9.015646706114438
1: APhTh04, c=0.07	1. CP	12	3.2833868824911776	-38.25112140276094
1: APhTh04, c=0.07	1. CP	13	1.8246491702707535	-0.5400776804249968
1: APhTh04, c=0.07	1. CP	14	1.6548032705872222	7.882571673028332
1: APhTh04, c=0.07	1. CP	15	2.3385482398263973	0.49821099524507007
1: APhTh04, c=0.07	1. CP	16	1.3935087111235887	-1.4652062591668822
1: APhTh04, c=0.07	1. CP	17	2.4706499122922256	-19.856695571252754
1: APhTh04, c=0.07	1. CP	18	2.931557848068854	-19.317387855027718
1: APhTh04, c=0.07	1. CP	19	3.229560040893992	-4.596698885704834
1: APhTh04, c=0.07	1. CP	20	3.328707429697322	-19.721954582626907
1: APhTh04, c=0.07	1. CP	21	3.300166240496892	-27.866935804967948
1: APhTh04, c=0.07	1. CP	22	2.894499365683271	-13.541180380072445
1: APhTh04, c=0.07	1. CP	23	2.532575703354363	-28.856230071518212
1: APhTh04, c=0.07	1. CP	24	0.9011993908781805	2.872883754051943
1: APhTh04, c=0.07	1. CP	25	2.7419767607757186	-40.05445565167435
1: APhTh04, c=0.07	1. CP	26	2.7815130476747147	-36.07988842775252
1: APhTh04, c=0.07	1. CP	27	1.8693362756420644	-0.46541731917249
1: APhTh04, c=0.07	1. CP	28	2.5782151124884973	-33.39464285024184
1: APhTh04, c=0.07	1. CP	29	3.087227217229184	-24.85582331777469
1: APhTh04, c=0.07	1. CP	30	3.5091785156991375	-35.13011367755576
1: APhTh04, c=0.07	1. CP	31	3.2611098839379125	-20.645323467246882
1: APhTh04, c=0.07	1. CP	32	2.8393437765079463	9.09977869472828
