arm	seed	min_bulk_ess	limiting_qoi	population_mean_ess	population_mean
total_ncp	1	56.44055459340159	between_trial_sd	2218.024357677377	-49.934974723815735
total_ncp	2	56.44055459340159	between_trial_sd	2364.078596101072	-49.95844275252414
total_ncp	3	56.44055459340159	between_trial_sd	2115.410458609229	-49.82981372178684
total_ncp	4	56.44055459340159	between_trial_sd	2442.5785552675566	-49.977563565419985
total_ncp	5	56.44055459340159	between_trial_sd	2595.959992994579	-49.9423246572139
total_ncp	6	56.44055459340159	between_trial_sd	2509.295138179796	-49.91195653025658
total_ncp	7	56.44055459340159	between_trial_sd	2643.713227076001	-49.73496181516144
total_ncp	8	56.44055459340159	between_trial_sd	2741.1645031233074	-49.85876567147252
total_ncp	9	56.44055459340159	between_trial_sd	2130.570000819478	-50.00242739033486
total_ncp	10	56.44055459340159	between_trial_sd	2246.745116228427	-49.83571500933647
total_cp	1	922.8288223722093	between_trial_sd	2587.2836699010777	-49.89320592786274
total_cp	2	922.8288223722093	between_trial_sd	2491.521632172449	-49.996893425177774
total_cp	3	922.8288223722093	between_trial_sd	2563.2091486850727	-49.930915439112425
total_cp	4	922.8288223722093	between_trial_sd	2772.2691491782953	-49.980426419251984
total_cp	5	922.8288223722093	between_trial_sd	2210.3304460861054	-49.97225609427163
total_cp	6	922.8288223722093	between_trial_sd	2425.6850081454727	-49.9668686779768
total_cp	7	922.8288223722093	between_trial_sd	2621.7050261704867	-49.80938733473789
total_cp	8	922.8288223722093	between_trial_sd	2633.363215160317	-49.790924190522034
total_cp	9	922.8288223722093	between_trial_sd	2612.4176083120205	-49.998709559072516
total_cp	10	922.8288223722093	between_trial_sd	2393.6373327807837	-49.79833719927884
total_posthoc_position	1	1406.796946726273	between_trial_sd	6452.068393886165	-49.901343861618926
total_posthoc_position	2	1406.796946726273	between_trial_sd	6655.475775852207	-49.98738603040073
total_posthoc_position	3	1406.796946726273	between_trial_sd	5845.737790032689	-49.984521458217095
total_posthoc_position	4	1406.796946726273	between_trial_sd	6542.194404499124	-49.96801023159601
total_posthoc_position	5	1406.796946726273	between_trial_sd	6039.0333651489955	-50.01869394357415
total_posthoc_position	6	1406.796946726273	between_trial_sd	6051.416167034812	-50.015405491404344
total_posthoc_position	7	1406.796946726273	between_trial_sd	6687.757172533958	-49.86804243763011
total_posthoc_position	8	1406.796946726273	between_trial_sd	6441.088478343385	-49.850749332306506
total_posthoc_position	9	1406.796946726273	between_trial_sd	6582.470934438118	-49.913797844013466
total_posthoc_position	10	1406.796946726273	between_trial_sd	6847.70598726303	-49.93225273725722
total_posthoc_gradient	1	1653.761833297665	between_trial_sd	8536.000124498769	-50.01755650102231
total_posthoc_gradient	2	1653.761833297665	between_trial_sd	9189.976600151804	-50.133222181668344
total_posthoc_gradient	3	1653.761833297665	between_trial_sd	8574.863748746599	-50.114056687257964
total_posthoc_gradient	4	1653.761833297665	between_trial_sd	8908.288047038699	-50.05892693428864
total_posthoc_gradient	5	1653.761833297665	between_trial_sd	8143.535561390224	-50.11368303434122
total_posthoc_gradient	6	1653.761833297665	between_trial_sd	9046.981091584117	-50.13271927248574
total_posthoc_gradient	7	1653.761833297665	between_trial_sd	7864.41175494666	-49.97014339402348
total_posthoc_gradient	8	1653.761833297665	between_trial_sd	8287.93436203051	-49.95206971938991
total_posthoc_gradient	9	1653.761833297665	between_trial_sd	8354.51269962045	-50.1310040517032
total_posthoc_gradient	10	1653.761833297665	between_trial_sd	7899.544196575787	-49.940542580564795
total_online_position	1	1237.3153119554988	between_trial_sd	3108.3372075707966	-50.01786823038866
total_online_position	2	1237.3153119554988	between_trial_sd	3661.5845360458065	-49.97564856010179
total_online_position	3	1237.3153119554988	between_trial_sd	3637.5081796407217	-49.97923800523885
total_online_position	4	1237.3153119554988	between_trial_sd	3605.0768352485775	-50.01181629310362
total_online_position	5	1237.3153119554988	between_trial_sd	3046.6942637511784	-49.97906330966364
total_online_position	6	1237.3153119554988	between_trial_sd	3628.4686858370974	-49.99054241020667
total_online_position	7	1237.3153119554988	between_trial_sd	3896.658518757179	-49.83811585394419
total_online_position	8	1237.3153119554988	between_trial_sd	3297.3409772705586	-49.88487453772734
total_online_position	9	1237.3153119554988	between_trial_sd	4030.344304490566	-49.917281561501966
total_online_position	10	1237.3153119554988	between_trial_sd	3501.0315535985396	-49.82364506957503
total_online_gradient	1	2279.5151244722447	between_trial_sd	7731.0253711896	-49.885837360041656
total_online_gradient	2	2279.5151244722447	between_trial_sd	8868.702452169646	-49.91004281199208
total_online_gradient	3	2279.5151244722447	between_trial_sd	8301.979490924743	-49.89431711229718
total_online_gradient	4	2279.5151244722447	between_trial_sd	9233.468452497164	-49.96713628383944
total_online_gradient	5	2279.5151244722447	between_trial_sd	8717.469335731857	-50.02133754531545
total_online_gradient	6	2279.5151244722447	between_trial_sd	8399.937917800173	-49.890663697748394
total_online_gradient	7	2279.5151244722447	between_trial_sd	8567.147933573659	-49.87736599062069
total_online_gradient	8	2279.5151244722447	between_trial_sd	8340.297219811546	-49.84699701118929
total_online_gradient	9	2279.5151244722447	between_trial_sd	8757.358800769918	-49.951816698839316
total_online_gradient	10	2279.5151244722447	between_trial_sd	7997.386306733606	-49.8529228050287
