panel	column	draw	log_group_sd	coordinate
1: APhTh04, c=0.80	1. CP	1	2.8437751425663973	-74.61563842631062
1: APhTh04, c=0.80	1. CP	2	2.0692914742388298	-71.94212197051665
1: APhTh04, c=0.80	1. CP	3	3.03094682964208	-74.74531057443053
1: APhTh04, c=0.80	1. CP	4	3.4045456782687324	-57.53196079048154
1: APhTh04, c=0.80	1. CP	5	2.3001173845272955	-64.66567138084334
1: APhTh04, c=0.80	1. CP	6	3.6028413244294772	-85.56968651135968
1: APhTh04, c=0.80	1. CP	7	2.722974170644603	-59.229392050064966
1: APhTh04, c=0.80	1. CP	8	2.155289581938236	-57.01595938349283
1: APhTh04, c=0.80	1. CP	9	2.563819708004188	-61.22402780449996
1: APhTh04, c=0.80	1. CP	10	1.97400585586325	-61.77266314099455
1: APhTh04, c=0.80	1. CP	11	1.97400585586325	-61.77266314099455
1: APhTh04, c=0.80	1. CP	12	2.377234037763056	-61.00395841094177
1: APhTh04, c=0.80	1. CP	13	2.751689282915375	-63.51637777247903
1: APhTh04, c=0.80	1. CP	14	2.546358300100181	-77.34655613708725
1: APhTh04, c=0.80	1. CP	15	2.4505824096019833	-52.37370060274256
1: APhTh04, c=0.80	1. CP	16	2.5659796041643905	-39.492915086085
1: APhTh04, c=0.80	1. CP	17	3.149824941112289	-114.63928923715157
1: APhTh04, c=0.80	1. CP	18	2.3845879083358223	-48.36523447627499
1: APhTh04, c=0.80	1. CP	19	3.0391570017424896	-77.64712699159533
1: APhTh04, c=0.80	1. CP	20	3.1763955248207405	-61.56051144138543
1: APhTh04, c=0.80	1. CP	21	2.484910633181401	-78.93994624357944
1: APhTh04, c=0.80	1. CP	22	3.1717613241493376	-64.50437765981802
1: APhTh04, c=0.80	1. CP	23	2.974205334146131	-63.09492860314493
1: APhTh04, c=0.80	1. CP	24	2.850249210899724	-80.35227251006924
1: APhTh04, c=0.80	1. CP	25	2.8399167503714535	-71.97360780753351
1: APhTh04, c=0.80	1. CP	26	2.300365474188624	-60.44177354437328
1: APhTh04, c=0.80	1. CP	27	2.5517972951432415	-57.9170524914546
1: APhTh04, c=0.80	1. CP	28	2.2861930452098975	-52.32121602541385
1: APhTh04, c=0.80	1. CP	29	3.4060864908358326	-83.1284915728975
1: APhTh04, c=0.80	1. CP	30	2.6511553890655093	-76.44848484281074
1: APhTh04, c=0.80	1. CP	31	3.319801835117322	-91.82207645860649
1: APhTh04, c=0.80	1. CP	32	3.0238166111577507	-53.25799116813235
1: APhTh04, c=0.80	1. CP	33	2.5513045265707888	-61.6245976532135
1: APhTh04, c=0.80	1. CP	34	2.824070522765129	-73.88310740811136
1: APhTh04, c=0.80	1. CP	35	2.5059437440449064	-76.90219930323228
1: APhTh04, c=0.80	1. CP	36	3.4073394699995503	-60.99671976913607
1: APhTh04, c=0.80	1. CP	37	2.3978335765281598	-68.12735688282265
1: APhTh04, c=0.80	1. CP	38	2.289980550192841	-38.22056406518064
1: APhTh04, c=0.80	1. CP	39	2.4193104157007217	-41.066285258957805
1: APhTh04, c=0.80	1. CP	40	2.106204905698412	-56.55322417449728
1: APhTh04, c=0.80	1. CP	41	2.125075040838764	-62.18597320704854
1: APhTh04, c=0.80	1. CP	42	1.9339154065410278	-55.22505679204475
1: APhTh04, c=0.80	1. CP	43	2.805594493049567	-60.419429080413174
1: APhTh04, c=0.80	1. CP	44	2.0171343126401746	-64.50941432963785
1: APhTh04, c=0.80	1. CP	45	2.726358619652823	-76.56548934203354
1: APhTh04, c=0.80	1. CP	46	1.5772699667577295	-43.21282708082825
1: APhTh04, c=0.80	1. CP	47	1.1390752268641358	-40.917580164476554
1: APhTh04, c=0.80	1. CP	48	1.0686221071371016	-47.08813053087252
1: APhTh04, c=0.80	1. CP	49	1.806413566685499	-49.23355492964103
1: APhTh04, c=0.80	1. CP	50	1.8699581430088372	-63.94151221704528
1: APhTh04, c=0.80	1. CP	51	3.699950964316262	-72.44633797697175
1: APhTh04, c=0.80	1. CP	52	2.824407597186655	-69.40232615978772
1: APhTh04, c=0.80	1. CP	53	2.1020293325583697	-65.35249456543833
1: APhTh04, c=0.80	1. CP	54	2.700553273616446	-80.77667764655517
1: APhTh04, c=0.80	1. CP	55	2.825365126242946	-79.6848297467812
1: APhTh04, c=0.80	1. CP	56	2.397341666699534	-72.18213324009395
1: APhTh04, c=0.80	1. CP	57	3.0315351697967126	-71.38905295040325
1: APhTh04, c=0.80	1. CP	58	2.0572352229463444	-71.56794174744604
1: APhTh04, c=0.80	1. CP	59	3.286837396141418	-69.78021152519112
1: APhTh04, c=0.80	1. CP	60	2.2420280385557283	-74.16161906815819
1: APhTh04, c=0.80	1. CP	61	1.8946118285344828	-33.1115756258727
1: APhTh04, c=0.80	1. CP	62	3.9120329566891296	-107.46384123563438
1: APhTh04, c=0.80	1. CP	63	2.0703653287305706	-66.42894413752342
1: APhTh04, c=0.80	1. CP	64	3.1044134570938686	-95.58621652013088
1: APhTh04, c=0.80	1. CP	65	2.6705752692509606	-49.27967197068119
1: APhTh04, c=0.80	1. CP	66	2.259791529307244	-75.00160515952479
1: APhTh04, c=0.80	1. CP	67	1.9934206033679067	-65.39464216138525
1: APhTh04, c=0.80	1. CP	68	2.5493594269919306	-56.87589558864367
1: APhTh04, c=0.80	1. CP	69	2.566431885247336	-72.20128103507591
1: APhTh04, c=0.80	1. CP	70	2.42465127920182	-65.06890000477236
1: APhTh04, c=0.80	1. CP	71	1.949348175863082	-42.358547822286724
1: APhTh04, c=0.80	1. CP	72	1.7952491603183327	-49.03310033101251
1: APhTh04, c=0.80	1. CP	73	1.4672804686776693	-42.13447324912818
1: APhTh04, c=0.80	1. CP	74	1.7338213528409607	-55.29806314650335
1: APhTh04, c=0.80	1. CP	75	0.9886120681019095	-51.23738555660102
1: APhTh04, c=0.80	1. CP	76	1.3508558107294795	-49.3746610099631
1: APhTh04, c=0.80	1. CP	77	2.447978677635345	-54.0043968792541
1: APhTh04, c=0.80	1. CP	78	2.690011057117534	-49.2402999601571
1: APhTh04, c=0.80	1. CP	79	2.2322521522643517	-69.15713313973139
1: APhTh04, c=0.80	1. CP	80	3.225384407130451	-82.51876424566579
1: APhTh04, c=0.80	1. CP	81	2.0583626173222576	-48.95748942481146
1: APhTh04, c=0.80	1. CP	82	2.818524996161473	-87.85999215110469
1: APhTh04, c=0.80	1. CP	83	3.126886495145114	-44.74091049199561
1: APhTh04, c=0.80	1. CP	84	3.061650063853519	-42.90047647306378
